post_id,title,post_type,status,meta_rows,editor_role,layout_variant,page_layout_mode,url
73,Зависимости,service,publish,264,section,subdivision,,http://shpigovsky.test/uslugi/zavisimosti/
74,"Лечение алкогольной зависимости",service,publish,366,service,service_general,,http://shpigovsky.test/uslugi/zavisimosti/lechenie-alkogolnoy-zavisimosti/
75,"Профилактический анализ",service,publish,164,service,service_general,,http://shpigovsky.test/uslugi/zavisimosti/profilakticheskiy-analiz/
77,"Психическое здоровье",service,publish,216,section,subdivision,,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/
78,Депрессия,service,publish,227,service,service_general,,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/depressiya/
79,ПТСР,service,publish,164,service,service_general,,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/ptsr/
80,"Эмоциональное выгорание",service,publish,163,service,service_general,,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/emotsionalnoe-vygoranie/
81,"Тревожные расстройства",service,publish,163,service,service_general,,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/trevozhnye-rasstroystva/
82,"Расстройства сна",service,publish,163,service,service_general,,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/rasstroystva-sna/
83,Травма,service,publish,163,service,service_general,,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/travma/
84,"Расстройства пищевого поведения",service,publish,216,section,subdivision,,http://shpigovsky.test/uslugi/rasstroystva-pischevogo-povedeniya/
85,Анорексия,service,publish,163,service,service_general,,http://shpigovsky.test/uslugi/rasstroystva-pischevogo-povedeniya/anoreksiya/
86,Булимия,service,publish,164,service,service_general,,http://shpigovsky.test/uslugi/rasstroystva-pischevogo-povedeniya/buliniya/
87,"Компульсивное переедание",service,publish,163,service,service_general,,http://shpigovsky.test/uslugi/rasstroystva-pischevogo-povedeniya/kompulsivnoe-pereedanie/
314,"Лечение наркотической зависимости",service,publish,198,service,service_general,,http://shpigovsky.test/uslugi/zavisimosti/lechenie-narkoticheskoy-zavisimosti/
315,"Лечение лекарственной зависимости",service,publish,222,placeholder,placeholder,,http://shpigovsky.test/uslugi/zavisimosti/lechenie-narkoticheskoy-zavisimosti/lekarstva/
316,"Поведенческие зависимости",service,publish,168,service,service_general,,http://shpigovsky.test/uslugi/zavisimosti/lechenie-povedencheskoy-zavisimosti/
1011,"Лечение солевой зависимости",service,publish,159,service,service_general,,http://shpigovsky.test/uslugi/zavisimosti/lechenie-narkoticheskoy-zavisimosti/soli/
1012,"Лечение метадоновой зависимости",service,publish,158,service,service_general,,http://shpigovsky.test/uslugi/zavisimosti/lechenie-narkoticheskoy-zavisimosti/matadon/
1013,"Лечение героиновой зависимости",service,publish,159,service,service_general,,http://shpigovsky.test/uslugi/zavisimosti/lechenie-narkoticheskoy-zavisimosti/geroin/
1016,"Лечение игровой зависимости",service,publish,158,service,service_general,,http://shpigovsky.test/uslugi/zavisimosti/lechenie-povedencheskoy-zavisimosti/ludomaniya/
1017,Интернет-зависимость,service,publish,160,service,service_general,,http://shpigovsky.test/uslugi/zavisimosti/lechenie-povedencheskoy-zavisimosti/internet-zavisimost/
1018,"Лечение созависимости",service,publish,158,service,service_general,,http://shpigovsky.test/uslugi/zavisimosti/lechenie-povedencheskoy-zavisimosti/sozavisimost/
1019,"Зависимость от постоянных покупок",service,publish,158,service,service_general,,http://shpigovsky.test/uslugi/zavisimosti/lechenie-povedencheskoy-zavisimosti/shopogolizm/
1047,"Компьютерная зависимость",service,publish,198,service,service_general,,http://shpigovsky.test/uslugi/zavisimosti/kompyuternaya-zavisimost/
1048,"Лечение опиумной зависимости",service,publish,165,service,service_general,,http://shpigovsky.test/uslugi/zavisimosti/lechenie-opiumnoy-zavisimosti/
1049,"Хроническая усталость",service,publish,164,service,service_general,,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/hronicheskaya-ustalost/
1050,Стресс,service,publish,164,service,service_general,,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/stress/
1051,Нарциссизм,service,publish,164,service,service_general,,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/nartsissizm/
