route,http,result,notes
/,200,PASS,
/uslugi/,200,PASS,
/uslugi/zavisimosti/,200,PASS,
/uslugi/psihicheskoe-zdorovie/,200,PASS,
/uslugi/rasstroystva-pischevogo-povedeniya/,200,PASS,
/blog/,200,PASS,
/specyalisty/,200,PASS,
/o-centre/,200,PASS,
/kontakty/,200,PASS,
"#74 Лечение алкогольной зависимости",200,PASS,
"#75 Профилактический анализ",200,PASS,
"#78 Депрессия",200,PASS,
"#79 ПТСР",200,PASS,
"#80 Эмоциональное выгорание",200,PASS,
"#81 Тревожные расстройства",200,PASS,
"#82 Расстройства сна",200,PASS,
"#83 Травма",200,PASS,
"#85 Анорексия",200,PASS,
"#86 Булимия",200,PASS,
"#87 Компульсивное переедание",200,PASS,
"#314 Лечение наркотической зависимости",200,PASS,
"#315 Лечение лекарственной зависимости",200,PASS,
"#316 Поведенческие зависимости",200,PASS,
"#1011 Лечение солевой зависимости",200,PASS,
"#1012 Лечение метадоновой зависимости",200,PASS,
"#1013 Лечение героиновой зависимости",200,PASS,
"#1016 Лечение игровой зависимости",200,PASS,
"#1017 Интернет-зависимость",200,PASS,
"#1018 Лечение созависимости",200,PASS,
"#1019 Зависимость от постоянных покупок",200,PASS,
"#1047 Компьютерная зависимость",200,PASS,
"#1048 Лечение опиумной зависимости",200,PASS,
"#1049 Хроническая усталость",200,PASS,
"#1050 Стресс",200,PASS,
"#1051 Нарциссизм",200,PASS,
