post_id,title,slug,url,post_status,parent_id,parent_title,depth,has_children,editor_role,effective_layout,current_acf_seed_state,selected_for_e49,notes
73,Зависимости,zavisimosti,http://shpigovsky.test/uslugi/zavisimosti/,publish,0,,1,yes,section,subdivision,section_excluded,no,
77,"Психическое здоровье",psihicheskoe-zdorovie,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/,publish,0,,1,yes,section,subdivision,section_excluded,no,
84,"Расстройства пищевого поведения",rasstroystva-pischevogo-povedeniya,http://shpigovsky.test/uslugi/rasstroystva-pischevogo-povedeniya/,publish,0,,1,yes,section,subdivision,section_excluded,no,
74,"Лечение алкогольной зависимости",lechenie-alkogolnoy-zavisimosti,http://shpigovsky.test/uslugi/zavisimosti/lechenie-alkogolnoy-zavisimosti/,publish,73,Зависимости,2,no,service,service_general,accepted_base,no,"E47 accepted base — validate only"
314,"Лечение наркотической зависимости",lechenie-narkoticheskoy-zavisimosti,http://shpigovsky.test/uslugi/zavisimosti/lechenie-narkoticheskoy-zavisimosti/,publish,73,Зависимости,2,yes,service,service_general,representative_done,no,"E48 representative — validate only"
316,"Поведенческие зависимости",lechenie-povedencheskoy-zavisimosti,http://shpigovsky.test/uslugi/zavisimosti/lechenie-povedencheskoy-zavisimosti/,publish,73,Зависимости,2,yes,service,service_general,remaining_target,yes,"E49 remaining service_general target"
75,"Профилактический анализ",profilakticheskiy-analiz,http://shpigovsky.test/uslugi/zavisimosti/profilakticheskiy-analiz/,publish,73,Зависимости,2,no,service,service_general,remaining_target,yes,"E49 remaining service_general target"
1047,"Компьютерная зависимость",kompyuternaya-zavisimost,http://shpigovsky.test/uslugi/zavisimosti/kompyuternaya-zavisimost/,publish,73,Зависимости,2,no,service,service_general,remaining_target,yes,"E49 remaining service_general target"
1048,"Лечение опиумной зависимости",lechenie-opiumnoy-zavisimosti,http://shpigovsky.test/uslugi/zavisimosti/lechenie-opiumnoy-zavisimosti/,publish,73,Зависимости,2,no,service,service_general,remaining_target,yes,"E49 remaining service_general target"
78,Депрессия,depressiya,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/depressiya/,publish,77,"Психическое здоровье",2,no,service,service_general,representative_done,no,"E48 representative — validate only"
79,ПТСР,ptsr,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/ptsr/,publish,77,"Психическое здоровье",2,no,service,service_general,remaining_target,yes,"E49 remaining service_general target"
80,"Эмоциональное выгорание",emotsionalnoe-vygoranie,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/emotsionalnoe-vygoranie/,publish,77,"Психическое здоровье",2,no,service,service_general,remaining_target,yes,"E49 remaining service_general target"
81,"Тревожные расстройства",trevozhnye-rasstroystva,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/trevozhnye-rasstroystva/,publish,77,"Психическое здоровье",2,no,service,service_general,representative_done,no,"E48 representative — validate only"
82,"Расстройства сна",rasstroystva-sna,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/rasstroystva-sna/,publish,77,"Психическое здоровье",2,no,service,service_general,remaining_target,yes,"E49 remaining service_general target"
83,Травма,travma,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/travma/,publish,77,"Психическое здоровье",2,no,service,service_general,remaining_target,yes,"E49 remaining service_general target"
1049,"Хроническая усталость",hronicheskaya-ustalost,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/hronicheskaya-ustalost/,publish,77,"Психическое здоровье",2,no,service,service_general,remaining_target,yes,"E49 remaining service_general target"
1050,Стресс,stress,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/stress/,publish,77,"Психическое здоровье",2,no,service,service_general,remaining_target,yes,"E49 remaining service_general target"
1051,Нарциссизм,nartsissizm,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/nartsissizm/,publish,77,"Психическое здоровье",2,no,service,service_general,remaining_target,yes,"E49 remaining service_general target"
85,Анорексия,anoreksiya,http://shpigovsky.test/uslugi/rasstroystva-pischevogo-povedeniya/anoreksiya/,publish,84,"Расстройства пищевого поведения",2,no,service,service_general,representative_done,no,"E48 representative — validate only"
86,Булимия,buliniya,http://shpigovsky.test/uslugi/rasstroystva-pischevogo-povedeniya/buliniya/,publish,84,"Расстройства пищевого поведения",2,no,service,service_general,remaining_target,yes,"E49 remaining service_general target"
