post_id,title,url,parent_section,depth,has_children,reason_selected,rollout_action,notes
316,"Поведенческие зависимости",http://shpigovsky.test/uslugi/zavisimosti/lechenie-povedencheskoy-zavisimosti/,Зависимости,2,yes,"service_general remaining after E48 controls",seed_missing_acf_neutral_preserve_existing,
75,"Профилактический анализ",http://shpigovsky.test/uslugi/zavisimosti/profilakticheskiy-analiz/,Зависимости,2,no,"service_general remaining after E48 controls",seed_missing_acf_neutral_preserve_existing,
1047,"Компьютерная зависимость",http://shpigovsky.test/uslugi/zavisimosti/kompyuternaya-zavisimost/,Зависимости,2,no,"service_general remaining after E48 controls",seed_missing_acf_neutral_preserve_existing,
1048,"Лечение опиумной зависимости",http://shpigovsky.test/uslugi/zavisimosti/lechenie-opiumnoy-zavisimosti/,Зависимости,2,no,"service_general remaining after E48 controls",seed_missing_acf_neutral_preserve_existing,
79,ПТСР,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/ptsr/,"Психическое здоровье",2,no,"service_general remaining after E48 controls",seed_missing_acf_neutral_preserve_existing,
80,"Эмоциональное выгорание",http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/emotsionalnoe-vygoranie/,"Психическое здоровье",2,no,"service_general remaining after E48 controls",seed_missing_acf_neutral_preserve_existing,
82,"Расстройства сна",http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/rasstroystva-sna/,"Психическое здоровье",2,no,"service_general remaining after E48 controls",seed_missing_acf_neutral_preserve_existing,
83,Травма,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/travma/,"Психическое здоровье",2,no,"service_general remaining after E48 controls",seed_missing_acf_neutral_preserve_existing,
1049,"Хроническая усталость",http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/hronicheskaya-ustalost/,"Психическое здоровье",2,no,"service_general remaining after E48 controls",seed_missing_acf_neutral_preserve_existing,
1050,Стресс,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/stress/,"Психическое здоровье",2,no,"service_general remaining after E48 controls",seed_missing_acf_neutral_preserve_existing,
1051,Нарциссизм,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/nartsissizm/,"Психическое здоровье",2,no,"service_general remaining after E48 controls",seed_missing_acf_neutral_preserve_existing,
86,Булимия,http://shpigovsky.test/uslugi/rasstroystva-pischevogo-povedeniya/buliniya/,"Расстройства пищевого поведения",2,no,"service_general remaining after E48 controls",seed_missing_acf_neutral_preserve_existing,
87,"Компульсивное переедание",http://shpigovsky.test/uslugi/rasstroystva-pischevogo-povedeniya/kompulsivnoe-pereedanie/,"Расстройства пищевого поведения",2,no,"service_general remaining after E48 controls",seed_missing_acf_neutral_preserve_existing,
1011,"Лечение солевой зависимости",http://shpigovsky.test/uslugi/zavisimosti/lechenie-narkoticheskoy-zavisimosti/soli/,Зависимости,3,no,"service_general remaining after E48 controls",seed_missing_acf_neutral_preserve_existing,
1012,"Лечение метадоновой зависимости",http://shpigovsky.test/uslugi/zavisimosti/lechenie-narkoticheskoy-zavisimosti/matadon/,Зависимости,3,no,"service_general remaining after E48 controls",seed_missing_acf_neutral_preserve_existing,
1013,"Лечение героиновой зависимости",http://shpigovsky.test/uslugi/zavisimosti/lechenie-narkoticheskoy-zavisimosti/geroin/,Зависимости,3,no,"service_general remaining after E48 controls",seed_missing_acf_neutral_preserve_existing,
315,"Лечение лекарственной зависимости",http://shpigovsky.test/uslugi/zavisimosti/lechenie-narkoticheskoy-zavisimosti/lekarstva/,Зависимости,3,no,"service_general remaining after E48 controls",seed_missing_acf_neutral_preserve_existing,
1016,"Лечение игровой зависимости",http://shpigovsky.test/uslugi/zavisimosti/lechenie-povedencheskoy-zavisimosti/ludomaniya/,Зависимости,3,no,"service_general remaining after E48 controls",seed_missing_acf_neutral_preserve_existing,
1017,Интернет-зависимость,http://shpigovsky.test/uslugi/zavisimosti/lechenie-povedencheskoy-zavisimosti/internet-zavisimost/,Зависимости,3,no,"service_general remaining after E48 controls",seed_missing_acf_neutral_preserve_existing,
1018,"Лечение созависимости",http://shpigovsky.test/uslugi/zavisimosti/lechenie-povedencheskoy-zavisimosti/sozavisimost/,Зависимости,3,no,"service_general remaining after E48 controls",seed_missing_acf_neutral_preserve_existing,
1019,"Зависимость от постоянных покупок",http://shpigovsky.test/uslugi/zavisimosti/lechenie-povedencheskoy-zavisimosti/shopogolizm/,Зависимости,3,no,"service_general remaining after E48 controls",seed_missing_acf_neutral_preserve_existing,
