field_name,field_label,field_type,frontend_block,required_for_visual,optional,currently_has_hardcoded_fallback,notes
section_hero_notice,"1. Hero",message,admin-notice,no,yes,no,
section_nav_notice,"2. Навигация по якорям",message,subnav,no,yes,no,
section_nav_visible,"Показывать навигацию по якорям",true_false,subnav,no,yes,no,
section_dependencies_notice,"3. Дочерние услуги",message,dependencies/children,no,yes,no,
section_dependencies_visible,"Показывать блок дочерних услуг",true_false,dependencies/children,no,yes,no,
section_dependencies_heading,"Заголовок блока дочерних услуг",text,dependencies/children,yes,no,yes,
section_dependencies_lead,"Лид блока дочерних услуг",textarea,dependencies/children,yes,no,yes,
section_dependencies_footer,"Текст после списка дочерних услуг",textarea,dependencies/children,yes,no,yes,
section_nature_notice,"4. Природа зависимости",message,nature,no,yes,no,
section_nature_visible,"Показывать блок «Природа зависимости»",true_false,nature,no,yes,no,
section_nature_heading,Заголовок,text,nature,yes,no,yes,
section_nature_lead,Лид,textarea,nature,yes,no,yes,
section_nature_text_blocks,"Текстовые блоки (подзаголовок + текст)",repeater,nature,yes,no,yes,
section_nature_cards,"Карточки проявлений",repeater,nature,yes,no,yes,
section_program_notice,"5. Программа лечения",message,program,no,yes,no,
section_program_visible,"Показывать программу лечения",true_false,program,no,yes,no,
section_program_heading,"Заголовок программы",text,program,yes,no,yes,
section_program_more_label,"Текст ссылки «подробнее»",text,program,yes,no,yes,
section_program_lead,"Лид программы",textarea,program,yes,no,yes,
section_program_intro_items,"Intro программы",repeater,program,yes,no,yes,
section_stages_notice,"6. Этапы / что нужно для лечения",message,stages,no,yes,no,
section_stages_visible,"Показывать блок этапов",true_false,stages,no,yes,no,
section_stages_heading,"Заголовок этапов",text,stages,yes,no,yes,
section_stages_lead,"Лид этапов",textarea,stages,yes,no,yes,
section_stages_items,Этапы,repeater,stages,yes,no,yes,
section_stages_support_heading,"Заголовок поддержки",text,stages,yes,no,yes,
section_stages_support_items,"Пункты поддержки",repeater,stages,yes,no,yes,
section_approach_notice,"7. Наш подход к лечению",message,approach/team,no,yes,no,
section_approach_visible,"Показывать блок «Наш подход»",true_false,approach/team,no,yes,no,
section_approach_heading,"Заголовок подхода",text,approach/team,yes,no,yes,
section_approach_more_label,"Текст ссылки «подробнее»",text,approach/team,yes,no,yes,
section_approach_more_url,"URL ссылки «подробнее»",url,approach/team,no,no,no,
section_approach_highlight,"Выделенный абзац (красная линия)",textarea,approach/team,yes,no,yes,
section_approach_intro,"Intro подхода",textarea,approach/team,yes,no,yes,
section_corridor_image,"Изображение коридора",image,approach/team,yes,no,no,
section_corridor_image_alt,"Alt изображения коридора",text,approach/team,yes,no,yes,
section_team_image,"Изображение команды",image,approach/team,yes,no,no,
section_team_image_alt,"Alt изображения команды",text,approach/team,yes,no,yes,
section_approach_cards,"Карточки подхода",repeater,approach/team,yes,no,yes,
section_clinic_landscape_notice,"8. Территория клиники",message,clinic-landscape,no,yes,no,
section_clinic_landscape_visible,"Показывать территорию клиники",true_false,clinic-landscape,no,yes,no,
section_clinic_landscape_image,"Изображение территории клиники",image,clinic-landscape,yes,no,no,
section_specialists_notice,"9. Специалисты",message,shared/automatic,no,yes,no,
section_specialists_visible,"Показывать специалистов",true_false,shared/automatic,no,yes,no,
section_founder_quote_notice,"10. Слово основателя",message,shared/automatic,no,yes,no,
section_founder_quote_visible,"Показывать слово основателя",true_false,shared/automatic,no,yes,no,
section_comfort_notice,"11. Условия центра",message,shared/automatic,no,yes,no,
section_comfort_visible,"Показывать условия центра",true_false,shared/automatic,no,yes,no,
section_reviews_notice,"12. Отзывы",message,shared/automatic,no,yes,no,
section_reviews_visible,"Показывать отзывы",true_false,shared/automatic,no,yes,no,
section_faq_notice,"13. FAQ",message,faq,no,yes,no,
section_faq_visible,"Показывать FAQ",true_false,faq,no,yes,no,
section_faq_heading,"Заголовок FAQ",text,faq,yes,no,yes,
section_final_form_notice,"14. Финальная форма",message,shared/automatic,no,yes,no,
section_final_form_visible,"Показывать финальную форму",true_false,shared/automatic,no,yes,no,
