post_id,title,route,frontend_block,current_source,should_be_page_acf,action,notes
73,Зависимости,/uslugi/zavisimosti/,dependencies/children,page_acf+automatic_children,yes,ensure_acf_seed_and_empty_safe,
73,Зависимости,/uslugi/zavisimosti/,nature,page_acf,yes,ensure_acf_seed_and_empty_safe,
73,Зависимости,/uslugi/zavisimosti/,program,page_acf,yes,ensure_acf_seed_and_empty_safe,
73,Зависимости,/uslugi/zavisimosti/,stages,page_acf,yes,ensure_acf_seed_and_empty_safe,
73,Зависимости,/uslugi/zavisimosti/,approach/team,page_acf,yes,ensure_acf_seed_and_empty_safe,
73,Зависимости,/uslugi/zavisimosti/,clinic-landscape,page_acf,yes,ensure_acf_seed_and_empty_safe,
73,Зависимости,/uslugi/zavisimosti/,faq,page_acf,yes,ensure_acf_seed_and_empty_safe,
77,"Психическое здоровье",/uslugi/psihicheskoe-zdorovie/,dependencies/children,page_acf+automatic_children,yes,ensure_acf_seed_and_empty_safe,
77,"Психическое здоровье",/uslugi/psihicheskoe-zdorovie/,nature,page_acf,yes,ensure_acf_seed_and_empty_safe,
77,"Психическое здоровье",/uslugi/psihicheskoe-zdorovie/,program,page_acf,yes,ensure_acf_seed_and_empty_safe,
77,"Психическое здоровье",/uslugi/psihicheskoe-zdorovie/,stages,page_acf,yes,ensure_acf_seed_and_empty_safe,
77,"Психическое здоровье",/uslugi/psihicheskoe-zdorovie/,approach/team,page_acf,yes,ensure_acf_seed_and_empty_safe,
77,"Психическое здоровье",/uslugi/psihicheskoe-zdorovie/,clinic-landscape,page_acf,yes,ensure_acf_seed_and_empty_safe,
77,"Психическое здоровье",/uslugi/psihicheskoe-zdorovie/,faq,page_acf,yes,ensure_acf_seed_and_empty_safe,
84,"Расстройства пищевого поведения",/uslugi/rasstroystva-pischevogo-povedeniya/,dependencies/children,page_acf+automatic_children,yes,ensure_acf_seed_and_empty_safe,
84,"Расстройства пищевого поведения",/uslugi/rasstroystva-pischevogo-povedeniya/,nature,mixed_acf_or_fallback,yes,ensure_acf_seed_and_empty_safe,
84,"Расстройства пищевого поведения",/uslugi/rasstroystva-pischevogo-povedeniya/,program,mixed_acf_or_fallback,yes,ensure_acf_seed_and_empty_safe,
84,"Расстройства пищевого поведения",/uslugi/rasstroystva-pischevogo-povedeniya/,stages,mixed_acf_or_fallback,yes,ensure_acf_seed_and_empty_safe,
84,"Расстройства пищевого поведения",/uslugi/rasstroystva-pischevogo-povedeniya/,approach/team,mixed_acf_or_fallback,yes,ensure_acf_seed_and_empty_safe,
84,"Расстройства пищевого поведения",/uslugi/rasstroystva-pischevogo-povedeniya/,clinic-landscape,page_acf,yes,ensure_acf_seed_and_empty_safe,
84,"Расстройства пищевого поведения",/uslugi/rasstroystva-pischevogo-povedeniya/,faq,page_acf,yes,ensure_acf_seed_and_empty_safe,
