post_id,field_or_meta,before_state,after_state,changed,allowed,notes
78,_edit_lock,1784024864:2,1784024864:2,no,yes,
78,_service_child_services_enabled,field_fp02_service_child_services_enabled,field_fp02_service_child_services_enabled,no,yes,
78,_service_editor_role,field_fp02_service_editor_role,field_fp02_service_editor_role,no,yes,
78,_service_general_approach_cards,field_fp02_service_general_approach_cards,field_fp02_service_general_approach_cards,no,yes,
78,_service_general_approach_cards_0_text,field_fp02_service_general_approach_card_text,field_fp02_service_general_approach_card_text,no,yes,
78,_service_general_approach_cards_0_title,field_fp02_service_general_approach_card_title,field_fp02_service_general_approach_card_title,no,yes,
78,_service_general_approach_cards_1_text,field_fp02_service_general_approach_card_text,field_fp02_service_general_approach_card_text,no,yes,
78,_service_general_approach_cards_1_title,field_fp02_service_general_approach_card_title,field_fp02_service_general_approach_card_title,no,yes,
78,_service_general_approach_cards_2_text,field_fp02_service_general_approach_card_text,field_fp02_service_general_approach_card_text,no,yes,
78,_service_general_approach_cards_2_title,field_fp02_service_general_approach_card_title,field_fp02_service_general_approach_card_title,no,yes,
78,_service_general_approach_cards_3_text,field_fp02_service_general_approach_card_text,field_fp02_service_general_approach_card_text,no,yes,
78,_service_general_approach_cards_3_title,field_fp02_service_general_approach_card_title,field_fp02_service_general_approach_card_title,no,yes,
78,_service_general_approach_heading,field_fp02_service_general_approach_heading,field_fp02_service_general_approach_heading,no,yes,
78,_service_general_approach_highlight,field_fp02_service_general_approach_highlight,field_fp02_service_general_approach_highlight,no,yes,
78,_service_general_approach_intro,field_fp02_service_general_approach_intro,field_fp02_service_general_approach_intro,no,yes,
78,_service_general_approach_more_label,field_fp02_service_general_approach_more_label,field_fp02_service_general_approach_more_label,no,yes,
78,_service_general_approach_more_url,field_fp02_service_general_approach_more_url,field_fp02_service_general_approach_more_url,no,yes,
78,_service_general_bordered_info_items,field_fp02_service_general_bordered_info_items,field_fp02_service_general_bordered_info_items,no,yes,
78,_service_general_bordered_info_items_0_heading,field_fp02_service_general_bordered_info_item_heading,field_fp02_service_general_bordered_info_item_heading,no,yes,
78,_service_general_bordered_info_items_0_text,field_fp02_service_general_bordered_info_item_text,field_fp02_service_general_bordered_info_item_text,no,yes,
78,_service_general_bordered_info_items_1_heading,field_fp02_service_general_bordered_info_item_heading,field_fp02_service_general_bordered_info_item_heading,no,yes,
78,_service_general_bordered_info_items_1_text,field_fp02_service_general_bordered_info_item_text,field_fp02_service_general_bordered_info_item_text,no,yes,
78,_service_general_bordered_info_items_2_heading,field_fp02_service_general_bordered_info_item_heading,field_fp02_service_general_bordered_info_item_heading,no,yes,
78,_service_general_bordered_info_items_2_text,field_fp02_service_general_bordered_info_item_text,field_fp02_service_general_bordered_info_item_text,no,yes,
78,_service_general_clinic_landscape_image,field_fp02_service_general_clinic_landscape_image,field_fp02_service_general_clinic_landscape_image,no,yes,
78,_service_general_corridor_image,field_fp02_service_general_corridor_image,field_fp02_service_general_corridor_image,no,yes,
78,_service_general_faq_heading,field_fp02_service_general_faq_heading,field_fp02_service_general_faq_heading,no,yes,
78,_service_general_faq_items,field_fp02_service_general_faq_items,field_fp02_service_general_faq_items,no,yes,
78,_service_general_faq_items_0_answer,field_fp02_service_general_faq_item_answer,field_fp02_service_general_faq_item_answer,no,yes,
78,_service_general_faq_items_0_question,field_fp02_service_general_faq_item_question,field_fp02_service_general_faq_item_question,no,yes,
78,_service_general_faq_items_1_answer,field_fp02_service_general_faq_item_answer,field_fp02_service_general_faq_item_answer,no,yes,
78,_service_general_faq_items_1_question,field_fp02_service_general_faq_item_question,field_fp02_service_general_faq_item_question,no,yes,
78,_service_general_faq_items_2_answer,field_fp02_service_general_faq_item_answer,field_fp02_service_general_faq_item_answer,no,yes,
78,_service_general_faq_items_2_question,field_fp02_service_general_faq_item_question,field_fp02_service_general_faq_item_question,no,yes,
78,_service_general_intro_heading,field_fp02_service_general_intro_heading,field_fp02_service_general_intro_heading,no,yes,
78,_service_general_intro_highlight,field_fp02_service_general_intro_highlight,field_fp02_service_general_intro_highlight,no,yes,
78,_service_general_program_heading,field_fp02_service_general_program_heading,field_fp02_service_general_program_heading,no,yes,
78,_service_general_program_intro_items,field_fp02_service_general_program_intro_items,field_fp02_service_general_program_intro_items,no,yes,
78,_service_general_program_intro_items_0_text,field_fp02_service_general_program_intro_item_text,field_fp02_service_general_program_intro_item_text,no,yes,
78,_service_general_program_intro_items_1_text,field_fp02_service_general_program_intro_item_text,field_fp02_service_general_program_intro_item_text,no,yes,
78,_service_general_program_lead,field_fp02_service_general_program_lead,field_fp02_service_general_program_lead,no,yes,
