phase,meta_key,meta_value,acf_key_reference,expected,result,notes
before,service_editor_role,placeholder,field_fp02_service_editor_role,placeholder,PASS,
before,service_layout_variant,placeholder,field_fp02_service_layout_variant,placeholder,PASS,
before,_service_editor_role,field_fp02_service_editor_role,field_fp02_service_editor_role,,PASS,
before,_service_layout_variant,field_fp02_service_layout_variant,field_fp02_service_layout_variant,,PASS,
before,service_layout_override_enabled,0,field_fp02_service_layout_override_enabled,,PASS,
before,_service_layout_override_enabled,field_fp02_service_layout_override_enabled,field_fp02_service_layout_override_enabled,,PASS,
after,service_editor_role,service,field_fp02_service_editor_role,service,PASS,
after,service_layout_variant,service_general,field_fp02_service_layout_variant,service_general,PASS,
after,_service_editor_role,field_fp02_service_editor_role,field_fp02_service_editor_role,field_fp02_service_editor_role,PASS,
after,_service_layout_variant,field_fp02_service_layout_variant,field_fp02_service_layout_variant,field_fp02_service_layout_variant,PASS,
after,service_layout_override_enabled,0,field_fp02_service_layout_override_enabled,0,PASS,
after,_service_layout_override_enabled,field_fp02_service_layout_override_enabled,field_fp02_service_layout_override_enabled,field_fp02_service_layout_override_enabled,PASS,
