route,url,http,fatal,result,notes
/,http://shpigovsky.test/,200,NO,PASS,
/uslugi/,http://shpigovsky.test/uslugi/,200,NO,PASS,
/uslugi/zavisimosti/,http://shpigovsky.test/uslugi/zavisimosti/,200,NO,PASS,
/uslugi/psihicheskoe-zdorovie/,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/,200,NO,PASS,
/uslugi/rasstroystva-pischevogo-povedeniya/,http://shpigovsky.test/uslugi/rasstroystva-pischevogo-povedeniya/,200,NO,PASS,
#78,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/depressiya/,200,NO,PASS,
#74,http://shpigovsky.test/uslugi/zavisimosti/lechenie-alkogolnoy-zavisimosti/,200,NO,PASS,
#314,http://shpigovsky.test/uslugi/zavisimosti/lechenie-narkoticheskoy-zavisimosti/,200,NO,PASS,
#81,http://shpigovsky.test/uslugi/psihicheskoe-zdorovie/trevozhnye-rasstroystva/,200,NO,PASS,
#85,http://shpigovsky.test/uslugi/rasstroystva-pischevogo-povedeniya/anoreksiya/,200,NO,PASS,
/blog/,http://shpigovsky.test/blog/,200,NO,PASS,
/specyalisty/,http://shpigovsky.test/specyalisty/,200,NO,PASS,
/o-centre/,http://shpigovsky.test/o-centre/,200,NO,PASS,
/kontakty/,http://shpigovsky.test/kontakty/,200,NO,PASS,
