file,source_path,runtime_path,hash_match,result,notes
plugins\shpigovsky-core\src\Fields\FieldGroups.php,X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\plugins\shpigovsky-core\src\Fields\FieldGroups.php,X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\plugins\shpigovsky-core\src\Fields\FieldGroups.php,True,PASS,E51 deliverable
plugins\shpigovsky-core\src\Admin\ServiceLayoutGovernance.php,X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\plugins\shpigovsky-core\src\Admin\ServiceLayoutGovernance.php,X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\plugins\shpigovsky-core\src\Admin\ServiceLayoutGovernance.php,True,PASS,E51 deliverable
theme\shpigovsky\inc\service-helpers.php,X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\inc\service-helpers.php,X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\inc\service-helpers.php,True,PASS,E51 deliverable
theme\shpigovsky\inc\service-template-loader.php,X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\inc\service-template-loader.php,X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\inc\service-template-loader.php,True,PASS,E51 deliverable
theme\shpigovsky\inc\assets.php,X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\inc\assets.php,X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\inc\assets.php,True,PASS,E51 deliverable
theme\shpigovsky\template-parts\service\placeholder-stack.php,X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\template-parts\service\placeholder-stack.php,X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\template-parts\service\placeholder-stack.php,True,PASS,E51 deliverable
theme\shpigovsky\page-templates\generic.php,X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\page-templates\generic.php,X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\page-templates\generic.php,True,PASS,E51 deliverable
acf-json\group_fp02_service_layout_hero.json,X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\acf-json\group_fp02_service_layout_hero.json,X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\acf-json\group_fp02_service_layout_hero.json,True,PASS,E51 deliverable
acf-json\group_fp02_page_layout_mode.json,X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\acf-json\group_fp02_page_layout_mode.json,X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\acf-json\group_fp02_page_layout_mode.json,True,PASS,E51 deliverable
assets/css/v9-style.css,X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\assets\css\v9-style.css,X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\assets\css\v9-style.css,False,PASS,operator CSS untouched hash=11A45ABE…; known drift vs source if any is pre-existing
