path,additions,deletions
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/DOCS/ADMIN-UX-ACF-SECTION-STYLING-v1.md,71,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/DOCS/FORGE-PROGER-EXPERIENCE-PACK/v9-06-batch-01/ACF-SOT-GUIDELINES.md,41,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/DOCS/FORGE-PROGER-EXPERIENCE-PACK/v9-06-batch-01/ADMIN-UX-GUIDELINES-FOR-FORGE-PROGER.md,41,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/DOCS/FORGE-PROGER-EXPERIENCE-PACK/v9-06-batch-01/ANTI-PATTERNS-AND-FAILURES.md,124,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/DOCS/FORGE-PROGER-EXPERIENCE-PACK/v9-06-batch-01/FORGE-PROGER-EXPERIENCE-FP0002-V9-06-BATCH-01.md,126,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/DOCS/FORGE-PROGER-EXPERIENCE-PACK/v9-06-batch-01/GIT-PERSISTENCE-LESSONS.md,67,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/DOCS/FORGE-PROGER-EXPERIENCE-PACK/v9-06-batch-01/INDEX.md,31,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/DOCS/FORGE-PROGER-EXPERIENCE-PACK/v9-06-batch-01/PATTERNS-LEARNED.md,102,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/DOCS/FORGE-PROGER-EXPERIENCE-PACK/v9-06-batch-01/PLACEHOLDER-MODE-GUIDELINES.md,46,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/DOCS/FORGE-PROGER-EXPERIENCE-PACK/v9-06-batch-01/TIMELINE-FP0002-V9-06.md,179,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/DOCS/FORGE-PROGER-EXPERIENCE-PACK/v9-06-batch-01/WEB-GPT-CHAT-MIGRATION-NOTES.md,111,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/DOCS/GENERIC-PAGES-ADMIN-PARITY-MODEL-v1.md,113,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/DOCS/SERVICE-LAYOUT-VARIANT-GOVERNANCE-v1.md,4,1
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/PROJECT-STATUS.md,8,2
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/FREEZE-FP-0002-V9-06E53-ADMIN-UX-ACCEPTED.md,58,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/REPORT-FP-0002-V9-06E38-E51-persistence-microcommit-current-head.md,3,3
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/REPORT-FP-0002-V9-06E38-E51-push.md,216,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/REPORT-FP-0002-V9-06E52-generic-pages-demo-acf-sot-placeholder.md,280,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/REPORT-FP-0002-V9-06E53-admin-ux-section-styling-freeze.md,102,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/REPORT-FP-0002-V9-06E53-admin-ux-section-styling.md,281,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/_e52-e53-closeout-allowlist.txt,79,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/screenshots/v9-06e53-admin-ux/README-screenshot-status.txt,8,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/screenshots/v9-06e53-admin-ux/generic-page-1039-sections.txt,5,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/screenshots/v9-06e53-admin-ux/service-page-315-315-sections.txt,19,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/screenshots/v9-06e53-admin-ux/service-page-74-sections.txt,19,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/screenshots/v9-06e53-admin-ux/service-section-73-sections.txt,19,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e38-e51-persistence-microcommit-current-head-postcommit-validation.csv,14,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e38-e51-push-ahead-commits.csv,33,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e38-e51-push-ahead-path-scan.csv,4538,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e38-e51-push-postpush-validation.csv,8,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e38-e51-push-preflight.csv,15,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e38-e51-push-result.csv,9,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e52-audit-summary.json,31,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e52-backup-path.txt,1,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e52-e53-closeout-manifest.csv,10,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e52-e53-closeout-safety-scan.csv,79,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e52-empty-field-hide-validation.csv,3,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e52-generic-pages-current-model-audit.csv,16,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e52-generic-pages-frontend-validation.csv,16,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e52-generic-pages-inventory.csv,26,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e52-generic-pages-seeding.csv,16,0
workspaces/website-factory-operations/FP-0002-SHPIGOVSKY/REPORTS/evidence/v9-06e52-generic-placeholder-switch-validation.csv,6,0
