post_id,title,template,frontend_source,has_page_layout_mode,current_layout_mode,placeholder_works_now,hardcoded_demo_found,acf_seed_needed,risk,notes
12,"О нас",page-templates/generic.php,post_content,yes,full(default),yes_field_present,yes,yes,medium,"pc_len=206; body_acf=empty; lead_acf=empty; content_group=missing"
13,"Программа лечения",page-templates/generic.php,post_content,yes,full(default),yes_field_present,yes,yes,medium,"pc_len=206; body_acf=empty; lead_acf=empty; content_group=missing"
14,"Галерея о доме",page-templates/generic.php,post_content,yes,full(default),yes_field_present,yes,yes,medium,"pc_len=206; body_acf=empty; lead_acf=empty; content_group=missing"
15,Специалистам,page-templates/generic.php,post_content,yes,full(default),yes_field_present,yes,yes,medium,"pc_len=206; body_acf=empty; lead_acf=empty; content_group=missing"
16,Родственникам,page-templates/generic.php,post_content,yes,full(default),yes_field_present,yes,yes,medium,"pc_len=206; body_acf=empty; lead_acf=empty; content_group=missing"
1030,Специалисты,page-templates/generic.php,post_content,yes,full(default),yes_field_present,yes,yes,medium,"pc_len=206; body_acf=empty; lead_acf=empty; content_group=missing"
1031,"Сергей Юрьевич Шпиговский",page-templates/generic.php,post_content,yes,full(default),yes_field_present,yes,yes,medium,"pc_len=441; body_acf=empty; lead_acf=empty; content_group=missing"
1032,"Максим Михайлович Казаков",page-templates/generic.php,post_content,yes,full(default),yes_field_present,yes,yes,medium,"pc_len=489; body_acf=empty; lead_acf=empty; content_group=missing"
1033,"Дарья Владимировна Костюк",page-templates/generic.php,post_content,yes,full(default),yes_field_present,yes,yes,medium,"pc_len=492; body_acf=empty; lead_acf=empty; content_group=missing"
1039,"Интервью и СМИ",page-templates/generic.php,post_content,yes,full(default),yes_field_present,yes,yes,medium,"pc_len=206; body_acf=empty; lead_acf=empty; content_group=missing"
1053,Генотипирование,page-templates/generic.php,post_content,yes,full(default),yes_field_present,yes,yes,medium,"pc_len=206; body_acf=empty; lead_acf=empty; content_group=missing"
1054,"Нейропсихологическая коррекция",page-templates/generic.php,post_content,yes,full(default),yes_field_present,yes,yes,medium,"pc_len=206; body_acf=empty; lead_acf=empty; content_group=missing"
1055,Психокоррекция,page-templates/generic.php,post_content,yes,full(default),yes_field_present,yes,yes,medium,"pc_len=206; body_acf=empty; lead_acf=empty; content_group=missing"
1056,Кинезиотерапия,page-templates/generic.php,post_content,yes,full(default),yes_field_present,yes,yes,medium,"pc_len=206; body_acf=empty; lead_acf=empty; content_group=missing"
1097,"Шапигузова Татьяна Андреевна",page-templates/generic.php,post_content,yes,full(default),yes_field_present,yes,yes,medium,"pc_len=538; body_acf=empty; lead_acf=empty; content_group=missing"
