file,source_sha256,runtime_sha256,match,result,notes
admin-fp02-acf.css,FF0DA2E6A609CD9EF5EBF1128075F0871A27F7A04783860F9FA9FEFA5E78DFC3,FF0DA2E6A609CD9EF5EBF1128075F0871A27F7A04783860F9FA9FEFA5E78DFC3,YES,PASS,
admin-home-acf.css,1CEB5A4FD0F9875B5335ADDE6F993F10B495218C082DD5ABBB2EE8F41E6C0950,1CEB5A4FD0F9875B5335ADDE6F993F10B495218C082DD5ABBB2EE8F41E6C0950,YES,PASS,alias_import
admin-editor.php,1791FC143CE892E92ECAFA0EFC826C686198FB1FE26D66BCE891368002A36004,1791FC143CE892E92ECAFA0EFC826C686198FB1FE26D66BCE891368002A36004,YES,PASS,
generic.php,1E818D10DD11FACADEB026FF972865413E26AC67AE100C0545F12DB039CEEB77,1E818D10DD11FACADEB026FF972865413E26AC67AE100C0545F12DB039CEEB77,YES,PASS,
content-page.php,8BCBD487755F1837C1A84BA988258C411CC9CAA86829768635DC0D73499D8E79,8BCBD487755F1837C1A84BA988258C411CC9CAA86829768635DC0D73499D8E79,YES,PASS,
FieldGroups.php,5855877780E8B6491535B2E18E777E2750218ECEF838220804218AF106124CB5,5855877780E8B6491535B2E18E777E2750218ECEF838220804218AF106124CB5,YES,PASS,
EditorRestrictions.php,11618C6D38919E16842D89BC9DFE581E92C9E73F760F170A427C19E0C10F3611,11618C6D38919E16842D89BC9DFE581E92C9E73F760F170A427C19E0C10F3611,YES,PASS,
group_fp02_page_layout_mode.json,0A5899BA4F0BFE9D7667A11C737ACA7AC246BFBBAE952ACC90B654490FC8B1B2,0A5899BA4F0BFE9D7667A11C737ACA7AC246BFBBAE952ACC90B654490FC8B1B2,YES,PASS,
group_fp02_page_generic_content.json,56842CA3246B4747048022866987869BB45155A9DC77A6EF598ABAFC8D4B3AA0,56842CA3246B4747048022866987869BB45155A9DC77A6EF598ABAFC8D4B3AA0,YES,PASS,
v9-style.css(operator),4CC96175AC64E7D1D6F26F3411C9DAF3A336D4F82A05C06E5F36C8DB9E1C96FD,11A45ABE87AE54B755133F3ABB5807D388B45F5FD06070EE9310CD513F2FCF5A,INTENTIONAL_DRIFT,PASS,preserve_runtime
