selector,route,viewport,family_before,family_after,size_before,size_after,weight_before,weight_after,lh_before,lh_after,ls_before,ls_after,result
.hero__title,home,1440x900,Inter; system-ui; -apple-system; "Segoe UI"; roboto; "Helvetica Neue"; arial; sans-serif,"Libertinus Serif"; serif,70px,70px,400,400,70px,70px,normal,normal,PASS
.hero__title,home,1024x768,Inter; system-ui; -apple-system; "Segoe UI"; roboto; "Helvetica Neue"; arial; sans-serif,"Libertinus Serif"; serif,50px,50px,400,400,50px,50px,normal,normal,PASS
.hero__title,home,767x1024,Inter; system-ui; -apple-system; "Segoe UI"; roboto; "Helvetica Neue"; arial; sans-serif,"Libertinus Serif"; serif,40px,40px,400,400,40px,40px,normal,normal,PASS
.hero__title,home,390x844,Inter; system-ui; -apple-system; "Segoe UI"; roboto; "Helvetica Neue"; arial; sans-serif,"Libertinus Serif"; serif,30px,30px,400,400,30px,30px,normal,normal,PASS
.hero__title,home,375x812,Inter; system-ui; -apple-system; "Segoe UI"; roboto; "Helvetica Neue"; arial; sans-serif,"Libertinus Serif"; serif,30px,30px,400,400,30px,30px,normal,normal,PASS
.hero__title,home,320x568,Inter; system-ui; -apple-system; "Segoe UI"; roboto; "Helvetica Neue"; arial; sans-serif,"Libertinus Serif"; serif,30px,30px,400,400,30px,30px,normal,normal,PASS
.services-inner-hero-v2__title,section,1440x900,Inter; system-ui; -apple-system; "Segoe UI"; roboto; "Helvetica Neue"; arial; sans-serif,"Libertinus Serif"; serif,36px,36px,400,400,36px,36px,normal,normal,PASS
.services-inner-hero-v2__title,section,1024x768,Inter; system-ui; -apple-system; "Segoe UI"; roboto; "Helvetica Neue"; arial; sans-serif,"Libertinus Serif"; serif,36px,36px,400,400,36px,36px,normal,normal,PASS
.services-inner-hero-v2__title,section,767x1024,Inter; system-ui; -apple-system; "Segoe UI"; roboto; "Helvetica Neue"; arial; sans-serif,"Libertinus Serif"; serif,26px,26px,400,400,30px,30px,normal,normal,PASS
.services-inner-hero-v2__title,section,390x844,Inter; system-ui; -apple-system; "Segoe UI"; roboto; "Helvetica Neue"; arial; sans-serif,"Libertinus Serif"; serif,26px,26px,400,400,30px,30px,normal,normal,PASS
.services-inner-hero-v2__title,section,375x812,Inter; system-ui; -apple-system; "Segoe UI"; roboto; "Helvetica Neue"; arial; sans-serif,"Libertinus Serif"; serif,26px,26px,400,400,30px,30px,normal,normal,PASS
.services-inner-hero-v2__title,section,320x568,Inter; system-ui; -apple-system; "Segoe UI"; roboto; "Helvetica Neue"; arial; sans-serif,"Libertinus Serif"; serif,26px,26px,400,400,30px,30px,normal,normal,PASS
.services-inner-hero-v2__title,service1,1440x900,Inter; system-ui; -apple-system; "Segoe UI"; roboto; "Helvetica Neue"; arial; sans-serif,"Libertinus Serif"; serif,36px,36px,400,400,36px,36px,normal,normal,PASS
.services-inner-hero-v2__title,service1,1024x768,Inter; system-ui; -apple-system; "Segoe UI"; roboto; "Helvetica Neue"; arial; sans-serif,"Libertinus Serif"; serif,36px,36px,400,400,36px,36px,normal,normal,PASS
.services-inner-hero-v2__title,service1,767x1024,Inter; system-ui; -apple-system; "Segoe UI"; roboto; "Helvetica Neue"; arial; sans-serif,"Libertinus Serif"; serif,26px,26px,400,400,30px,30px,normal,normal,PASS
.services-inner-hero-v2__title,service1,390x844,Inter; system-ui; -apple-system; "Segoe UI"; roboto; "Helvetica Neue"; arial; sans-serif,"Libertinus Serif"; serif,26px,26px,400,400,30px,30px,normal,normal,PASS
.services-inner-hero-v2__title,service1,375x812,Inter; system-ui; -apple-system; "Segoe UI"; roboto; "Helvetica Neue"; arial; sans-serif,"Libertinus Serif"; serif,26px,26px,400,400,30px,30px,normal,normal,PASS
.services-inner-hero-v2__title,service1,320x568,Inter; system-ui; -apple-system; "Segoe UI"; roboto; "Helvetica Neue"; arial; sans-serif,"Libertinus Serif"; serif,26px,26px,400,400,30px,30px,normal,normal,PASS
.services-inner-hero-v2__title,uslugi,1440x900,Inter; system-ui; -apple-system; "Segoe UI"; roboto; "Helvetica Neue"; arial; sans-serif,"Libertinus Serif"; serif,36px,36px,400,400,36px,36px,normal,normal,PASS
.services-inner-hero-v2__title,uslugi,1024x768,Inter; system-ui; -apple-system; "Segoe UI"; roboto; "Helvetica Neue"; arial; sans-serif,"Libertinus Serif"; serif,36px,36px,400,400,36px,36px,normal,normal,PASS
.services-inner-hero-v2__title,uslugi,767x1024,Inter; system-ui; -apple-system; "Segoe UI"; roboto; "Helvetica Neue"; arial; sans-serif,"Libertinus Serif"; serif,26px,26px,400,400,30px,30px,normal,normal,PASS
.services-inner-hero-v2__title,uslugi,390x844,Inter; system-ui; -apple-system; "Segoe UI"; roboto; "Helvetica Neue"; arial; sans-serif,"Libertinus Serif"; serif,26px,26px,400,400,30px,30px,normal,normal,PASS
.services-inner-hero-v2__title,uslugi,375x812,Inter; system-ui; -apple-system; "Segoe UI"; roboto; "Helvetica Neue"; arial; sans-serif,"Libertinus Serif"; serif,26px,26px,400,400,30px,30px,normal,normal,PASS
.services-inner-hero-v2__title,uslugi,320x568,Inter; system-ui; -apple-system; "Segoe UI"; roboto; "Helvetica Neue"; arial; sans-serif,"Libertinus Serif"; serif,26px,26px,400,400,30px,30px,normal,normal,PASS
