
Kind   Rel                                                 Status Src                                                              Rt                                                               Match     Size
----   ---                                                 ------ ---                                                              --                                                               -----     ----
theme  template-parts\layout\footer.php                    OK     721FFE5B5B375C0BBE58C6F71976483316736310DB1E26A057203F27FE6690FA 721FFE5B5B375C0BBE58C6F71976483316736310DB1E26A057203F27FE6690FA  True     7907
theme  inc\site-chrome.php                                 OK     C2CEEAB6D1C26FF253795DDE00FD75FB44371EE0162D7ACF8D11834B8B2BC5FD C2CEEAB6D1C26FF253795DDE00FD75FB44371EE0162D7ACF8D11834B8B2BC5FD  True     5434
theme  style.css                                           OK     82A31308CE46C143528518F1036437A28E93F14D42E2C89AD22F0BF97037750E 82A31308CE46C143528518F1036437A28E93F14D42E2C89AD22F0BF97037750E  True      673
theme  screenshot.png                                      OK     4606B07371DC97C3767180697BADA78CE64B014B0640A0EBC8F286AF4A610BD6 4606B07371DC97C3767180697BADA78CE64B014B0640A0EBC8F286AF4A610BD6  True  1692543
theme  assets\css\v9-style.css                             OK     BC7AB371E1E1BE59F5ABCC3EE8CFA16138222DC391B410F7F29D64467875E931 BC7AB371E1E1BE59F5ABCC3EE8CFA16138222DC391B410F7F29D64467875E931  True   579314
theme  assets\js\v9-shell.js                               OK     78AAE67C07537C6CC34F706EF543BCE1B4E97778A68F2B48E5B2DC8564B9F8F1 78AAE67C07537C6CC34F706EF543BCE1B4E97778A68F2B48E5B2DC8564B9F8F1  True    59614
theme  template-parts\layout\global-consultation-modal.php OK     D2EB049BEE49500081EF4478AB6050C6A2B77D8D7CE1F56079A0CA38106146B7 D2EB049BEE49500081EF4478AB6050C6A2B77D8D7CE1F56079A0CA38106146B7  True     6099
theme  template-parts\components\final-form.php            OK     CC1A01C989C4E27C0D550ACB134ED33A4E4968DB4A78095DCB3E9C5F59745EDB CC1A01C989C4E27C0D550ACB134ED33A4E4968DB4A78095DCB3E9C5F59745EDB  True     7352
theme  assets\video\sergey-shpigovsky-interview.mp4        OK     46006380A5345EB6CE6FB5941E7418992B33DD1330C4B82FCF54FFF7F61C0AB9 46006380A5345EB6CE6FB5941E7418992B33DD1330C4B82FCF54FFF7F61C0AB9  True 25491525
plugin src\Forms\ConsultationHandler.php                   OK     C9617766B703EB6F79CD078C4EEE076D3BD7AEB1CAA81C333ABEE57D79606E25 C9617766B703EB6F79CD078C4EEE076D3BD7AEB1CAA81C333ABEE57D79606E25  True    18847
plugin src\Admin\OptionsPage.php                           OK     C90F184D5B5D10AA52C9138A1286F5C66736F1B2EBB56B81CB9BE2FD96D0C424 C90F184D5B5D10AA52C9138A1286F5C66736F1B2EBB56B81CB9BE2FD96D0C424  True    11899
plugin src\Fields\FieldGroups.php                          OK     8D97D65BA444A7C11480C6D6A837963900C22179BA8102F566CF6C3477BECF24 8D97D65BA444A7C11480C6D6A837963900C22179BA8102F566CF6C3477BECF24  True   138721
plugin src\ModuleRegistry.php                              OK     C32E5AC7A71BB717A9E966E9693799AE766E04F260CF321DB2CB8842517F5454 C32E5AC7A71BB717A9E966E9693799AE766E04F260CF321DB2CB8842517F5454  True     5619
acf    group_fp02_block_comfort_intro.json                 OK     F0887F5B4583A7173DF76D0435E55FDE418D03F98EB54149417EBB6DC9E8D48C F0887F5B4583A7173DF76D0435E55FDE418D03F98EB54149417EBB6DC9E8D48C  True     3998
acf    group_fp02_block_comfort_gallery.json               OK     5748D100C211D6D78AF85559F1F34404596D0ED76B37F61BC08619B09B99C2FB 5748D100C211D6D78AF85559F1F34404596D0ED76B37F61BC08619B09B99C2FB  True     8922
acf    group_fp02_block_comfort_requirements.json          OK     155A56B1A7117CE67BE77779B6AA9930C097EF8741244978C7F526702AF81334 155A56B1A7117CE67BE77779B6AA9930C097EF8741244978C7F526702AF81334  True    15446


