"Rel","Status","SrcHash","RtHash","SrcSize","RtSize","SrcMtime","RtMtime","Newer","Class"
"assets\css\fp02-floating-header.css","DIFF","1468248F826A2CA0D56618CEA3CD4F6A04ED025C1EF015C83AAB9B8BA950245E","792448B97D7BE6C304863432EF5095D6B8C452F12C0273157CE5989145B58C8D","4455","4820","16.07.2026 8:40:57","16.07.2026 10:59:02","runtime","drift-review"
"assets\css\v9-style.css","DIFF","4CC96175AC64E7D1D6F26F3411C9DAF3A336D4F82A05C06E5F36C8DB9E1C96FD","D12B6348883FCF87418597B2756F47C2322C25B475B18268EB77308C30AF2D81","579484","579253","16.07.2026 7:05:54","16.07.2026 11:06:19","runtime","operator-owned-candidate"
"assets\images\blog-no-photo.svg","DIFF","4D0FD31D61D06A1EA1E7C2BE3639D307E339AD1628C4556044214977FBCEF893","62B62BCE536CBE7092B6D8D63958E0F6C01234BEF5F271159A294E56912576EF","1421","1445","12.07.2026 19:25:19","16.07.2026 7:40:00","runtime","drift-review"
"assets\images\service-placeholder.svg","DIFF","4B1A6049BB616312AB90838176528C94B84ADAC0B4D06DA92A6F3E29E828EE11","B05EB57FF5B83A187DA05445F8E94E87956E2E4903961C692866946983ED8C84","892","876","16.07.2026 7:05:47","16.07.2026 7:40:00","runtime","drift-review"
"assets\images\specialist-no-photo.svg","DIFF","093594DF5F2E89462F39546C8F1B1F220BADF0A7094B6318BCE917F7F46ACFA6","54AAD1D46EC5317629C006B4653CEBD4C639E5BDF403E089CAA108342FEEF781","1114","1131","12.07.2026 19:25:19","16.07.2026 7:40:00","runtime","drift-review"
"assets\js\v9-shell.js","DIFF","470165633200C1EB68862C91069F5415A1BF1BC569FFD7D75F45B63F22AE9D30","FCEFED9DC12E4D580549D6A8A5BFAD759139E8A385233B765D1D03EF369B4590","56277","56367","16.07.2026 8:41:05","16.07.2026 10:08:36","runtime","drift-review"
"template-parts\institutional\clinic-landscape.php","DIFF","900D702ABE5929EA0AC3B168567DB0905FD2119277C36941F23FFD22B33D2859","F736418BD7455550CEC786C10209F1DD7640A953DE0C5AFD31AD72C5A08E8E71","935","901","16.07.2026 7:05:46","09.07.2026 20:51:52","source","drift-review"
"template-parts\institutional\founder-quote.php","DIFF","E961DD5C120AB3D0651FFC1114817A46342865FDF472B81F012F952F51C5E165","7108F9F86D36A254744FD8E534927EFE171EDC0B32EC24B42929A72C2E65B518","3668","3613","16.07.2026 7:05:46","09.07.2026 20:51:50","source","drift-review"
"template-parts\layout\floating-header.php","DIFF","260AAD28F3667983D768DD064524081DF1AB70A2DEEFBCE8DC4A1C6175356BBE","07EA7EFA68B4AC8A0CC1940167E4B699F97D48C2FD7FF5617467BB5F96F84753","2973","3044","16.07.2026 8:07:22","16.07.2026 10:52:38","runtime","drift-review"
"template-parts\layout\header.php","DIFF","DD770BA1C0B27951ED8B623578F40E0A44F7D25CA897C6F4251CD05B7DFB28C2","70D9E9ED2DA422000A4DDA51D0C31A3332DAD13F0C00645CA1D5FDBB8A8CE662","4370","4994","08.07.2026 6:11:50","16.07.2026 10:33:52","runtime","drift-review"
