
Rel                                               Status Newer   Class                    SrcSize RtSize
---                                               ------ -----   -----                    ------- ------
assets\css\fp02-floating-header.css               DIFF   runtime drift-review                4455   4820
assets\css\v9-style.css                           DIFF   runtime operator-owned-candidate  579484 579253
assets\images\blog-no-photo.svg                   DIFF   runtime drift-review                1421   1445
assets\images\service-placeholder.svg             DIFF   runtime drift-review                 892    876
assets\images\specialist-no-photo.svg             DIFF   runtime drift-review                1114   1131
assets\js\v9-shell.js                             DIFF   runtime drift-review               56277  56367
template-parts\institutional\clinic-landscape.php DIFF   source  drift-review                 935    901
template-parts\institutional\founder-quote.php    DIFF   source  drift-review                3668   3613
template-parts\layout\floating-header.php         DIFF   runtime drift-review                2973   3044
template-parts\layout\header.php                  DIFF   runtime drift-review                4370   4994


