"file","role","sha256","path"
"fp02-lifebuoy-parallax.css","source","119C0CCCF11CABD3FBEFD6F06C6981A1B04499091F10A456837D8A8F7AEABB01","X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\assets\css\fp02-lifebuoy-parallax.css"
"fp02-lifebuoy-parallax.css","runtime","119C0CCCF11CABD3FBEFD6F06C6981A1B04499091F10A456837D8A8F7AEABB01","X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\assets\css\fp02-lifebuoy-parallax.css"
"fp02-lifebuoy-parallax.js","source","008226FCF367CAE237CF695A40659DE464E4A6F808ABFB4529E2282FDC11B214","X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\assets\js\fp02-lifebuoy-parallax.js"
"fp02-lifebuoy-parallax.js","runtime","008226FCF367CAE237CF695A40659DE464E4A6F808ABFB4529E2282FDC11B214","X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\assets\js\fp02-lifebuoy-parallax.js"
"body-start.php","source","916376F84941ACE39F4AAED0004FA9B3C9084BA937AC88654B578DF329E554A9","X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\template-parts\layout\body-start.php"
"body-start.php","runtime","916376F84941ACE39F4AAED0004FA9B3C9084BA937AC88654B578DF329E554A9","X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\template-parts\layout\body-start.php"
"assets.php","source","4D6E6FDA43FF717DA6A395FAAE83DE31FCA1C2F4BEB8C19992FA928877212CE4","X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\inc\assets.php"
"assets.php","runtime","4D6E6FDA43FF717DA6A395FAAE83DE31FCA1C2F4BEB8C19992FA928877212CE4","X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\inc\assets.php"
"v9-style.css","source","2F7CC5ACE7E6718ADE81B9871FBE73B62D2D0D3AE5B5C1818E2F9266D374793E","X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\assets\css\v9-style.css"
"v9-style.css","runtime","2F7CC5ACE7E6718ADE81B9871FBE73B62D2D0D3AE5B5C1818E2F9266D374793E","X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\assets\css\v9-style.css"
"lifebuoy.webp","source","B4F1C9F6A09A68F6F7C31565CF1383DA92F223BB99347D9E22D19B7543430011","X:\AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\assets\img\decor\lifebuoy.webp"
"lifebuoy.webp","runtime","B4F1C9F6A09A68F6F7C31565CF1383DA92F223BB99347D9E22D19B7543430011","X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\assets\img\decor\lifebuoy.webp"
