route,viewport,state,present,count,mode,progress,attrProgress,x,y,scale,rotate,visibleWidthPct,scrollable,opacity,pointerEvents,hasOverflowX,docWidth,winWidth
home,1440x900,top,true,1,long,0.0000,0.0000,-50.000%,-12.000vh,1.0000,-7.200deg,50.0,16666,0.3,none,false,1425,1440
home,1440x900,p02,true,1,long,0.0200,0.0200,-46.769%,-8.240vh,1.0080,-5.508deg,52.9,16666,0.3,none,false,1425,1440
home,1440x900,p10,true,1,long,0.1000,0.1000,-35.850%,5.348vh,1.0400,0.606deg,63.5,16666,0.3,none,false,1425,1440
home,1440x900,p25,true,1,long,0.2500,0.2500,-24.895%,25.003vh,1.1000,9.451deg,69.8,16666,0.3,none,false,1425,1440
home,1440x900,p50,true,1,long,0.5000,0.5000,-20.689%,44.000vh,1.2000,18.000deg,69.3,16666,0.3,none,false,1425,1440
home,1440x900,p75,true,1,long,0.7500,0.7500,-20.076%,51.000vh,0.9600,21.150deg,74.0,16666,0.3,none,false,1425,1440
home,1440x900,bottom,true,1,long,0.9804,0.9800,-20.000%,51.999vh,0.7392,21.600deg,81.1,16659,0.3,none,false,1425,1440
home,1440x900,reverse-p75,true,1,long,0.7501,0.7501,-20.076%,51.001vh,0.9599,21.150deg,74.0,16648,0.3,none,false,1425,1440
home,1440x900,reverse-p50,true,1,long,0.5000,0.5000,-20.689%,44.000vh,1.2000,18.000deg,69.3,16646,0.3,none,false,1425,1440
home,1440x900,reverse-p25,true,1,long,0.2500,0.2500,-24.895%,25.003vh,1.1000,9.451deg,69.8,16646,0.3,none,false,1425,1440
home,1440x900,reverse-top,true,1,long,0.0000,0.0000,-50.000%,-12.000vh,1.0000,-7.200deg,50.0,16646,0.3,none,false,1425,1440
kontakty,1440x900,top,true,1,short,0.0000,0.0000,-50.000%,-12.000vh,1.0000,-3.600deg,50.0,3425,0.3,none,false,1425,1440
kontakty,1440x900,p02,true,1,short,0.0201,0.0111,-49.193%,-10.685vh,1.0027,-3.087deg,50.8,3425,0.3,none,false,1425,1440
