route,page_type,1440,1024,480,370,evidence_status
/,home,captured,captured,captured,captured,full+body+metrics
/uslugi/,services-hub,captured,captured,captured,captured,full+body+metrics
/uslugi/rasstroystva-pischevogo-povedeniya/,service-section,captured,captured,captured,captured,full+body+metrics
/uslugi/zavisimosti/lechenie-alkogolnoy-zavisimosti/,service,captured,captured,captured,captured,full+body+metrics
/uslugi/psihicheskoe-zdorovie/nartsissizm/,service,captured,captured,captured,captured,full+body+metrics
/o-centre/programma-lecheniya/genotipirovanie/,generic,captured,captured,captured,captured,full+body+metrics
/specyalisty/shipovsky/,specialist-child,captured,captured,captured,captured,full+body+metrics
/o-centre/,institutional,captured,captured,captured,captured,full+body+metrics
/kontakty/,contacts,captured,captured,captured,captured,full+body+metrics
/blog/,blog,captured,captured,captured,captured,full+body+metrics
/blog/sryvy-i-retsidivy-signal-k-korrektirovke/,blog-single,captured,captured,captured,captured,full+body+metrics
