"route","vp","index","cls","wpPT","v9PT","wpPB","v9PB","wpW","v9W","dpt","dpb"
"home","1440","4","home-why-us @@class","50px","50px","50px","30px","1425","1425","0","20"
"home","1440","5","home-staff-photo @@class","50px","0px","50px","30px","1425","1425","50","20"
"home","1440","6","home-feature-grid @@class","50px","0px","50px","30px","1425","1425","50","20"
"home","1440","7","clinic-landscape","50px","0px","50px","50px","1425","1425","50","0"
"home","480","5","home-staff-photo @@class","25px","0px","25px","30px","465","465","25","5"
"home","480","6","home-feature-grid @@class","25px","0px","25px","30px","465","465","25","5"
"home","480","7","clinic-landscape","25px","0px","25px","25px","465","465","25","0"
"uslugi","1440","6","services-category-section-v2__marker-link","0px","0px","0px","0px","48","1091","0","0"
"uslugi","1440","9","services-category-section-v2__heading-link","0px","15px","0px","15px","500","1020","15","15"
"uslugi","1440","10","services-category-section-v2__intro","0px","0px","0px","0px","1091","1170","0","0"
"uslugi","1440","11","services-category-section-v2__lead","15px","0px","15px","15px","1170","1170","15","0"
"uslugi","1440","13","services-category-section-v2__service","0px","0px","30px","0px","1170","1002","0","30"
"uslugi","1440","14","services-category-section-v2__service-head","0px","0px","0px","0px","1170","232","0","0"
"uslugi","1440","15","services-category-section-v2__service-title","0px","0px","0px","0px","1002","765","0","0"
"uslugi","1440","16","services-category-section-v2__service-name","0px","0px","0px","0px","282","153","0","0"
"uslugi","1440","17","services-category-section-v2__service-name-link","0px","0px","0px","0px","282","1170","0","0"
"uslugi","1440","18","services-category-section-v2__service-leader","0px","0px","0px","15px","715","1170","0","15"
"uslugi","1440","19","services-category-section-v2__service-link home-re","0px","0px","0px","0px","153","1170","0","0"
"uslugi","1440","20","services-category-section-v2__service-text","0px","0px","0px","0px","1170","1002","0","0"
"uslugi","1440","21","services-category-section-v2__service","0px","0px","30px","0px","1170","254","0","30"
"uslugi","1440","22","services-category-section-v2__service-head","0px","0px","0px","0px","1170","743","0","0"
"uslugi","1440","23","services-category-section-v2__service-title","0px","0px","0px","0px","1002","153","0","0"
"uslugi","1440","24","services-category-section-v2__service-name","0px","0px","0px","0px","304","1170","0","0"
"uslugi","1440","25","services-category-section-v2__service-name-link","0px","0px","0px","15px","304","1170","0","15"
"uslugi","1440","26","services-category-section-v2__service-leader","0px","0px","0px","0px","693","1170","0","0"
"uslugi","1440","27","services-category-section-v2__service-link home-re","0px","0px","0px","0px","153","1002","0","0"
"uslugi","1440","28","services-category-section-v2__service-text","0px","0px","0px","0px","1170","255","0","0"
"uslugi","1440","29","services-category-section-v2__service-children","0px","0px","0px","0px","1170","742","0","0"
"uslugi","1440","30","services-category-section-v2__service-child","0px","0px","0px","0px","272","153","0","0"
"uslugi","1440","31","services-category-section-v2__service-child-link","0px","0px","0px","0px","272","1170","0","0"
"uslugi","1440","32","services-category-section-v2__service-child","0px","0px","0px","0px","315","1170","0","0"
"uslugi","1440","33","services-category-section-v2__service-child-link","0px","0px","0px","0px","315","1170","0","0"
"uslugi","1440","34","services-category-section-v2__service-child","0px","0px","0px","0px","301","1002","0","0"
"uslugi","1440","35","services-category-section-v2__service-child-link","0px","0px","0px","0px","301","259","0","0"
"uslugi","1440","36","services-category-section-v2__service-child","0px","0px","0px","0px","331","738","0","0"
"uslugi","1440","37","services-category-section-v2__service-child-link","0px","0px","0px","0px","331","153","0","0"
"uslugi","1440","38","services-category-section-v2__service","0px","0px","30px","0px","1170","1170","0","30"
"uslugi","480","6","services-category-section-v2__marker-link","0px","0px","0px","0px","48","375","0","0"
"uslugi","480","9","services-category-section-v2__heading-link","0px","15px","0px","15px","361","435","15","15"
"uslugi","480","10","services-category-section-v2__intro","0px","0px","0px","0px","375","435","0","0"
"uslugi","480","11","services-category-section-v2__lead","15px","0px","15px","15px","435","435","15","0"
"uslugi","480","13","services-category-section-v2__service","0px","0px","30px","0px","435","435","0","30"
"uslugi","480","14","services-category-section-v2__service-head","0px","0px","0px","0px","435","232","0","0"
"uslugi","480","15","services-category-section-v2__service-title","0px","0px","0px","0px","435","0","0","0"
"uslugi","480","16","services-category-section-v2__service-name","0px","0px","0px","0px","282","153","0","0"
"uslugi","480","17","services-category-section-v2__service-name-link","0px","0px","0px","0px","282","435","0","0"
"uslugi","480","18","services-category-section-v2__service-leader","0px","0px","0px","15px","0","435","0","15"
"uslugi","480","19","services-category-section-v2__service-link home-re","0px","0px","0px","0px","153","435","0","0"
"uslugi","480","21","services-category-section-v2__service","0px","0px","30px","0px","435","254","0","30"
"uslugi","480","22","services-category-section-v2__service-head","0px","0px","0px","0px","435","0","0","0"
"uslugi","480","23","services-category-section-v2__service-title","0px","0px","0px","0px","435","153","0","0"
"uslugi","480","24","services-category-section-v2__service-name","0px","0px","0px","0px","304","435","0","0"
"uslugi","480","25","services-category-section-v2__service-name-link","0px","0px","0px","15px","304","435","0","15"
"uslugi","480","26","services-category-section-v2__service-leader","0px","0px","0px","0px","0","435","0","0"
"uslugi","480","27","services-category-section-v2__service-link home-re","0px","0px","0px","0px","153","435","0","0"
"uslugi","480","28","services-category-section-v2__service-text","0px","0px","0px","0px","435","255","0","0"
"uslugi","480","29","services-category-section-v2__service-children","0px","0px","0px","0px","435","0","0","0"
"uslugi","480","30","services-category-section-v2__service-child","0px","0px","0px","0px","272","153","0","0"
"uslugi","480","31","services-category-section-v2__service-child-link","0px","0px","0px","0px","272","435","0","0"
"uslugi","480","32","services-category-section-v2__service-child","0px","0px","0px","0px","315","435","0","0"
"uslugi","480","33","services-category-section-v2__service-child-link","0px","0px","0px","0px","315","435","0","0"
"uslugi","480","34","services-category-section-v2__service-child","0px","0px","0px","0px","301","435","0","0"
"uslugi","480","35","services-category-section-v2__service-child-link","0px","0px","0px","0px","301","259","0","0"
"uslugi","480","36","services-category-section-v2__service-child","0px","0px","0px","0px","331","0","0","0"
"uslugi","480","37","services-category-section-v2__service-child-link","0px","0px","0px","0px","331","153","0","0"
"uslugi","480","38","services-category-section-v2__service","0px","0px","30px","0px","435","435","0","30"
"section-rpp","1440","0","services-inner-hero-v2 is-revealed","0px","32px","0px","72px","1425","1425","32","72"
"section-rpp","480","0","services-inner-hero-v2 is-revealed","0px","32px","0px","72px","465","465","32","72"
"ocentre","1440","13","program-cta-band-section","30px","0px","30px","0px","1425","1170","30","30"
"ocentre","1440","14","program-approach-band","50px","30px","0px","30px","1425","1425","20","30"
"ocentre","1440","15","clinic-landscape","30px","50px","0px","0px","1425","1425","20","0"
"ocentre","1440","16","services-program-v2 services-program-v2--play-link","50px","30px","50px","0px","1425","1425","20","50"
"ocentre","1440","18","program-cta-band-section","30px","50px","30px","50px","1425","1425","20","20"
"ocentre","1440","19","specialists","50px","30px","50px","30px","1425","1425","20","20"
"ocentre","480","13","program-cta-band-section","30px","0px","30px","0px","465","435","30","30"
"ocentre","480","14","program-approach-band","25px","30px","0px","30px","465","465","5","30"
"ocentre","480","16","services-program-v2 services-program-v2--play-link","25px","30px","25px","0px","465","465","5","25"
"blog-single","1440","3","blog-article-related","30px","30px","30px","0px","1425","1425","0","30"
"blog-single","1440","4","program-cta-band-section","0px","30px","30px","30px","1425","1425","30","0"
"blog-single","480","3","blog-article-related","25px","25px","20px","0px","465","465","0","20"
"blog-single","480","4","program-cta-band-section","0px","25px","20px","20px","465","465","25","0"
"generic-geno","1440","0","plain-page-content generic-content-page","48px","0px","72px","0px","1425","1425","48","72"
"generic-geno","480","0","plain-page-content generic-content-page","48px","0px","72px","0px","465","465","48","72"
