"route","vp","ok","ox","wpCont","v9Cont","dCont","wpBtnAvg","v9BtnAvg","wpH2","v9H2","wpPadL","v9PadL","wpSecN","v9SecN"
"home","1440","True","-15","1230","1230","0","40,9","41,1","36px|30px|18px","36px|30px|18px","30px","30px","19","19"
"home","1024","True","-15","1009",,,"40,9",,"36px|30px|18px","","15px","","19",
"home","480","True","-15","465","465","0","41,1","41,2","26px|30px|18px","26px|30px|18px","15px","15px","19","19"
"home","370","True","-15","355",,,"41,1",,"26px|30px|18px","","15px","","19",
"uslugi","1440","True","-15","1230","1230","0","40,8","40,8","36px|30px|18px","36px|30px|18px","30px","30px","40","40"
"uslugi","1024","True","-15","1009",,,"40,8",,"36px|30px|18px","","15px","","40",
"uslugi","480","True","-15","465","465","0","40,9","40,9","26px|30px|18px","26px|30px|18px","15px","15px","40","40"
"uslugi","370","True","-15","355",,,"40,9",,"26px|30px|18px","","15px","","40",
"section-rpp","1440","True","-15","1230","1230","0","41","40","36px|30px|18px","18px|30px","30px","30px","40","1"
"section-rpp","1024","True","-15","1009",,,"41",,"36px|30px|18px","","15px","","40",
"section-rpp","480","True","-15","465","465","0","41,2","40","26px|30px|18px","18px|30px","15px","15px","40","1"
"section-rpp","370","True","-15","355",,,"41,2",,"26px|30px|18px","","15px","","40",
"service-alcohol","1440","True","-15","1230","1230","0","41","41,1","36px|30px|18px","36px|30px|18px","30px","30px","19","19"
"service-alcohol","1024","True","-15","1009",,,"41",,"36px|30px|18px","","15px","","19",
"service-alcohol","480","True","-15","465","465","0","41,2","41,2","26px|30px|18px","26px|30px|18px","15px","15px","19","19"
"service-alcohol","370","True","-15","355",,,"41,2",,"26px|30px|18px","","15px","","19",
"kontakty","1440","True","-15","1230","1230","0","40","40","16px|36px|18px|30px","16px|36px|18px|30px","30px","30px","2","2"
"kontakty","1024","True","-15","1009",,,"40",,"16px|36px|18px|30px","","15px","","2",
"kontakty","480","True","-15","465","465","0","40","40","16px|26px|18px|30px","16px|26px|18px|30px","15px","15px","2","2"
"kontakty","370","True","-15","355",,,"40",,"16px|26px|18px|30px","","15px","","2",
"ocentre","1440","True","-15","1230","1230","0","41","41,1","36px|30px|18px","36px|30px|18px","30px","30px","22","23"
"ocentre","1024","True","-15","1009",,,"41",,"36px|30px|18px","","15px","","22",
"ocentre","480","True","-15","465","465","0","41,2","41,2","26px|30px|18px","26px|30px|18px","15px","15px","22","23"
"ocentre","370","True","-15","355",,,"41,2",,"26px|30px|18px","","15px","","22",
"blog","1440","True","-15","1230","1230","0","41,4","41,7","18px|36px|30px","18px","30px","30px","3","3"
"blog","1024","True","-15","1009",,,"41,4",,"18px|36px|22px|30px","","15px","","3",
"blog","480","True","-15","465","465","0","42","42","18px|26px|22px|30px","16px","15px","15px","3","3"
"blog","370","True","-15","355",,,"43,6",,"18px|26px|22px|30px","","15px","","3",
"blog-single","1440","True","-15","1230","1230","0","40","40","36px|24px|18px|30px","36px|24px|16px|18px|30px","30px","30px","5","6"
"blog-single","1024","True","-15","1009",,,"40",,"22px|36px|18px|30px","","15px","","5",
"blog-single","480","True","-15","465","465","0","40","40","22px|26px|18px|30px","22px|16px|26px|18px|30px","15px","15px","5","6"
"blog-single","370","True","-15","355",,,"40",,"22px|26px|18px|30px","","15px","","5",
"generic-geno","1440","True","-15","1230","1230","0","40","40","18px|30px","32px|30px|18px","30px","30px","1","3"
"generic-geno","1024","True","-15","1009",,,"40",,"18px|30px","","15px","","1",
"generic-geno","480","True","-15","465","465","0","40","40","18px|30px","32px|30px|18px","15px","15px","1","3"
"generic-geno","370","True","-15","355",,,"40",,"18px|30px","","15px","","1",
