path,scope,sha256
MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\assets\css\v9-style.css,runtime,1AA1AAC84EB087BE7B82BF6F97151B46D60CBB057E93D70130AE31BF1F511CD7
AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\assets\css\v9-style.css,source,1AA1AAC84EB087BE7B82BF6F97151B46D60CBB057E93D70130AE31BF1F511CD7
MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\template-parts\home\comfort.php,runtime,E65B9A81B3814825620C07F9C9F69BC45A3EECF3FE620C32E799564820099D2F
AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\template-parts\home\comfort.php,source,E65B9A81B3814825620C07F9C9F69BC45A3EECF3FE620C32E799564820099D2F
MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\template-parts\institutional\infrastructure-narrative.php,runtime,3B5D871DACA6C8947FCA1662F3794E815E65EB4D05AF64164F98981BBBDBF09A
AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\template-parts\institutional\infrastructure-narrative.php,source,3B5D871DACA6C8947FCA1662F3794E815E65EB4D05AF64164F98981BBBDBF09A
MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\template-parts\layout\footer.php,runtime,154B6567BC1457AEF4FE163F59E92F4903F3BB6B0713AB0F318B7CFDE54BFEFB
AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\template-parts\layout\footer.php,source,154B6567BC1457AEF4FE163F59E92F4903F3BB6B0713AB0F318B7CFDE54BFEFB
MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\inc\contacts-helpers.php,runtime,2F2E21EB0A52B7DA9115BD79BA479FADB2464AF7B29B72E32FF009BCE13057CB
AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\inc\contacts-helpers.php,source,2F2E21EB0A52B7DA9115BD79BA479FADB2464AF7B29B72E32FF009BCE13057CB
MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\inc\reusable-blocks-helpers.php,runtime,E225A1B51F258ADA6FCE1BDE348FDCF41BC0E2F495B52CB036BB23ADEB083D3A
AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\theme\shpigovsky\inc\reusable-blocks-helpers.php,source,E225A1B51F258ADA6FCE1BDE348FDCF41BC0E2F495B52CB036BB23ADEB083D3A
MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\acf-json\group_fp02_page_contacts.json,runtime,E76D044913A3D7FD8511E199F4BA64F1090341444644B571FE29E4336745255B
AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\acf-json\group_fp02_page_contacts.json,source,E76D044913A3D7FD8511E199F4BA64F1090341444644B571FE29E4336745255B
MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\plugins\shpigovsky-core\src\Fields\FieldGroups.php,runtime,9775F5A3921FA9F28D9EF95686BDF86F0BE7ABB62FEE92D8526B6F66313C850F
AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\plugins\shpigovsky-core\src\Fields\FieldGroups.php,source,9775F5A3921FA9F28D9EF95686BDF86F0BE7ABB62FEE92D8526B6F66313C850F
MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\plugins\shpigovsky-core\src\Fields\RepeaterValidation.php,runtime,0D110064136018E094686BF5E4B99707ED5FE54F3CD02F732B0B0F8B895DCC18
AI MARS\workspaces\website-factory-operations\FP-0002-SHPIGOVSKY\WORDPRESS\plugins\shpigovsky-core\src\Fields\RepeaterValidation.php,source,0D110064136018E094686BF5E4B99707ED5FE54F3CD02F732B0B0F8B895DCC18
