file,source_sha256,runtime_after_sha256,match
X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\functions.php,19B557EB716E7D7B84716A7EBD267EC7EA6ECA5AD9CBF14DECE9939D1928D681,19B557EB716E7D7B84716A7EBD267EC7EA6ECA5AD9CBF14DECE9939D1928D681,YES
X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\front-page.php,2BEEE8F47817A17BB382F0FCDA0736A3927721DD88596361A8453B08DA935E64,2BEEE8F47817A17BB382F0FCDA0736A3927721DD88596361A8453B08DA935E64,YES
X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\inc\yandex-map-embed.php,A56E453ADAAB14A3BD0CEB6C0F31A7FB6AC3BF534FEA58AC800879625DD6E857,A56E453ADAAB14A3BD0CEB6C0F31A7FB6AC3BF534FEA58AC800879625DD6E857,YES
X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\inc\contacts-helpers.php,2F2E21EB0A52B7DA9115BD79BA479FADB2464AF7B29B72E32FF009BCE13057CB,2F2E21EB0A52B7DA9115BD79BA479FADB2464AF7B29B72E32FF009BCE13057CB,YES
X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\assets\css\v9-style.css,1AA1AAC84EB087BE7B82BF6F97151B46D60CBB057E93D70130AE31BF1F511CD7,1AA1AAC84EB087BE7B82BF6F97151B46D60CBB057E93D70130AE31BF1F511CD7,YES
X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\template-parts\home\staff-photo.php,85A829729DF8A1BF3634E7D1C85EE76EF418D209509567A49AB4741BBA2A8A74,85A829729DF8A1BF3634E7D1C85EE76EF418D209509567A49AB4741BBA2A8A74,YES
X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\template-parts\home\feature-grid.php,1F884A03CFDBD8F6151C4712270526CBAC4A1C0483661A61D6B56C596F02BFE2,1F884A03CFDBD8F6151C4712270526CBAC4A1C0483661A61D6B56C596F02BFE2,YES
X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\template-parts\home\why-us.php,681355FA632587CD750B76E4C8177E74C3034B3DF06BAE5309914DCCD0BE7492,681355FA632587CD750B76E4C8177E74C3034B3DF06BAE5309914DCCD0BE7492,YES
X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\template-parts\home\rehabilitation-requirements.php,F2277128880546ABEFAC7C0FA5F2018829479729791171EACE270F55F4D9AB88,F2277128880546ABEFAC7C0FA5F2018829479729791171EACE270F55F4D9AB88,YES
X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\template-parts\layout\footer.php,154B6567BC1457AEF4FE163F59E92F4903F3BB6B0713AB0F318B7CFDE54BFEFB,154B6567BC1457AEF4FE163F59E92F4903F3BB6B0713AB0F318B7CFDE54BFEFB,YES
X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\themes\shpigovsky\template-parts\contacts\location-card.php,0CEB0562FD60245E8DB4B4E6D88D61D11C7860FDF5C0EA99F718084299E22CC0,0CEB0562FD60245E8DB4B4E6D88D61D11C7860FDF5C0EA99F718084299E22CC0,YES
X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\plugins\shpigovsky-core\src\Fields\FieldGroups.php,9775F5A3921FA9F28D9EF95686BDF86F0BE7ABB62FEE92D8526B6F66313C850F,9775F5A3921FA9F28D9EF95686BDF86F0BE7ABB62FEE92D8526B6F66313C850F,YES
X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\plugins\shpigovsky-core\src\Fields\RepeaterValidation.php,0D110064136018E094686BF5E4B99707ED5FE54F3CD02F732B0B0F8B895DCC18,0D110064136018E094686BF5E4B99707ED5FE54F3CD02F732B0B0F8B895DCC18,YES
X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\acf-json\group_fp02_page_contacts.json,E76D044913A3D7FD8511E199F4BA64F1090341444644B571FE29E4336745255B,E76D044913A3D7FD8511E199F4BA64F1090341444644B571FE29E4336745255B,YES
X:\MARS-Localhost\sites\wordpress\projects\shpigovsky\wp-content\acf-json\group_fp02_block_comfort_requirements.json,6165DA46E08D6B5D417DC7CDAF29223DC1ED021A27BB74CC86C02B2107499B79,6165DA46E08D6B5D417DC7CDAF29223DC1ED021A27BB74CC86C02B2107499B79,YES
