file,action,hash_after_prefix
assets/css/v9-style.css,promoted_operator_then_additive_rules,1AA1AAC8
template-parts/home/rehabilitation-requirements.php,promoted_operator_then_acf_wire,F2277128
template-parts/home/staff-photo.php,e58_va001_class_merge,85A82972
template-parts/home/feature-grid.php,e58_va001_class_merge,1F884A03
template-parts/home/why-us.php,e58_va001_class_merge,681355FA
front-page.php,e58_va001_class_args,2BEEE8F4
inc/yandex-map-embed.php,added,A56E453A
inc/contacts-helpers.php,contacts_locations_model,2F2E21EB
template-parts/contacts/location-card.php,yandex_constructor_render,0CEB0562
template-parts/layout/footer.php,heading_links,154B6567
functions.php,include_yandex_helper,19B557EB
plugins/shpigovsky-core/src/Fields/FieldGroups.php,acf_fields,9775F5A3
plugins/shpigovsky-core/src/Fields/RepeaterValidation.php,contacts_locations_max,0D110064
acf-json/group_fp02_page_contacts.json,contacts_locations_repeater,E76D0449
acf-json/group_fp02_block_comfort_requirements.json,cta_lead_text_field,6165DA46
