id,slug,title,action
1745,demo-pagination-article-01,Демо-статья для проверки пагинации — 01,created
1746,demo-pagination-article-02,Демо-статья для проверки пагинации — 02,created
1747,demo-pagination-article-03,Демо-статья для проверки пагинации — 03,created
1748,demo-pagination-article-04,Демо-статья для проверки пагинации — 04,created
1749,demo-pagination-article-05,Демо-статья для проверки пагинации — 05,created
1750,demo-pagination-article-06,Демо-статья для проверки пагинации — 06,created
1751,demo-pagination-article-07,Демо-статья для проверки пагинации — 07,created
1752,demo-pagination-article-08,Демо-статья для проверки пагинации — 08,created
1753,demo-pagination-article-09,Демо-статья для проверки пагинации — 09,created
1754,demo-pagination-article-10,Демо-статья для проверки пагинации — 10,created
