title,post_id,attachment_id,attachment_url,action
"Демо-статья для проверки пагинации — 01",1745,1106,http://shpigovsky.test/wp-content/uploads/2026/05/article-alcohol-dependence.webp,assigned_present
"Демо-статья для проверки пагинации — 02",1746,1089,http://shpigovsky.test/wp-content/uploads/2026/07/services-mental-health-03.webp,assigned_present
"Демо-статья для проверки пагинации — 03",1747,1088,http://shpigovsky.test/wp-content/uploads/2026/07/services-mental-health-02.webp,assigned_present
"Демо-статья для проверки пагинации — 04",1748,1087,http://shpigovsky.test/wp-content/uploads/2026/07/services-mental-health-01.webp,assigned_present
"Демо-статья для проверки пагинации — 05",1749,1086,http://shpigovsky.test/wp-content/uploads/2026/07/services-addictions-03.webp,assigned_present
"Демо-статья для проверки пагинации — 06",1750,1085,http://shpigovsky.test/wp-content/uploads/2026/07/services-addictions-02.webp,assigned_present
"Демо-статья для проверки пагинации — 07",1751,1084,http://shpigovsky.test/wp-content/uploads/2026/07/services-addictions-01.webp,assigned_present
"Демо-статья для проверки пагинации — 08",1752,93,http://shpigovsky.test/wp-content/uploads/2026/07/shpigovsky-gallery-04.webp,assigned_present
"Демо-статья для проверки пагинации — 09",1753,92,http://shpigovsky.test/wp-content/uploads/2026/07/shpigovsky-gallery-03.webp,assigned_present
"Демо-статья для проверки пагинации — 10",1754,91,http://shpigovsky.test/wp-content/uploads/2026/07/shpigovsky-gallery-02.webp,assigned_present
