review_id,n,slug_marker,author,service_id,length_class,featured,page
11,1,e62b-demo-01,"Демо-отзыв для проверки пагинации — 01 (Анна К., Москва)",74,long_slider,1,2
12,2,e62b-demo-02,"Демо-отзыв для проверки пагинации — 02 (Игорь П., МО)",314,long_slider,1,2
13,3,e62b-demo-03,"Демо-отзыв для проверки пагинации — 03 (Елена С., Москва)",1019,long_slider,1,2
14,4,e62b-demo-04,"Демо-отзыв для проверки пагинации — 04 (Дмитрий В., МО)",1017,long_archive,1,2
15,5,e62b-demo-05,"Демо-отзыв для проверки пагинации — 05 (Ольга М., Москва)",1016,long_archive,1,2
16,6,e62b-demo-06,"Демо-отзыв для проверки пагинации — 06 (Сергей Н., МО)",1013,boundary,1,2
17,7,e62b-demo-07,"Демо-отзыв для проверки пагинации — 07 (Мария Л., Москва)",1018,boundary,1,2
18,8,e62b-demo-08,"Демо-отзыв для проверки пагинации — 08 (Павел Р., МО)",1011,short,1,2
19,9,e62b-demo-09,"Демо-отзыв для проверки пагинации — 09 (Наталья Т., Москва)",315,short,1,2
20,10,e62b-demo-10,"Демо-отзыв для проверки пагинации — 10 (Алексей Ф., МО)",316,short,1,2
21,11,e62b-demo-11,"Демо-отзыв для проверки пагинации — 11 (Виктория Г., Москва)",74,long_slider,1,3
22,12,e62b-demo-12,"Демо-отзыв для проверки пагинации — 12 (Роман Д., МО)",314,long_archive,1,3
23,13,e62b-demo-13,"Демо-отзыв для проверки пагинации — 13 (Ирина Е., Москва)",1019,boundary,1,3
24,14,e62b-demo-14,"Демо-отзыв для проверки пагинации — 14 (Кирилл Ж., МО)",1017,short,1,3
25,15,e62b-demo-15,"Демо-отзыв для проверки пагинации — 15 (Светлана З., Москва)",1016,long_slider,1,3
26,16,e62b-demo-16,"Демо-отзыв для проверки пагинации — 16 (Андрей И., МО)",1013,short,1,3
27,17,e62b-demo-17,"Демо-отзыв для проверки пагинации — 17 (Юлия К., Москва)",1018,long_archive,1,3
28,18,e62b-demo-18,"Демо-отзыв для проверки пагинации — 18 (Максим Л., МО)",1011,boundary,1,3
29,19,e62b-demo-19,"Демо-отзыв для проверки пагинации — 19 (Татьяна М., Москва)",315,short,1,3
30,20,e62b-demo-20,"Демо-отзыв для проверки пагинации — 20 (Никита О., МО)",316,long_slider,1,3
