review_id,author,archive_page,archive_url,featured
1,"Андрей, Москва",1,http://shpigovsky.test/otzyvy/#review-1,1
2,"Мария, Московская область",1,http://shpigovsky.test/otzyvy/#review-2,1
3,"Елена, Москва",1,http://shpigovsky.test/otzyvy/#review-3,1
4,"Игорь, Московская область",1,http://shpigovsky.test/otzyvy/#review-4,1
5,"Наталья, Москва",1,http://shpigovsky.test/otzyvy/#review-5,1
6,"Сергей, Московская область",1,http://shpigovsky.test/otzyvy/#review-6,0
7,"Анна, Москва",1,http://shpigovsky.test/otzyvy/#review-7,0
8,"Дмитрий, Московская область",1,http://shpigovsky.test/otzyvy/#review-8,0
9,"Ольга, Москва",1,http://shpigovsky.test/otzyvy/#review-9,0
10,"Михаил, Московская область",1,http://shpigovsky.test/otzyvy/#review-10,0
11,"Демо-отзыв для проверки пагинации — 01 (Анна К., Москва)",2,http://shpigovsky.test/otzyvy/page/2/#review-11,1
12,"Демо-отзыв для проверки пагинации — 02 (Игорь П., МО)",2,http://shpigovsky.test/otzyvy/page/2/#review-12,1
13,"Демо-отзыв для проверки пагинации — 03 (Елена С., Москва)",2,http://shpigovsky.test/otzyvy/page/2/#review-13,1
14,"Демо-отзыв для проверки пагинации — 04 (Дмитрий В., МО)",2,http://shpigovsky.test/otzyvy/page/2/#review-14,1
15,"Демо-отзыв для проверки пагинации — 05 (Ольга М., Москва)",2,http://shpigovsky.test/otzyvy/page/2/#review-15,1
16,"Демо-отзыв для проверки пагинации — 06 (Сергей Н., МО)",2,http://shpigovsky.test/otzyvy/page/2/#review-16,1
17,"Демо-отзыв для проверки пагинации — 07 (Мария Л., Москва)",2,http://shpigovsky.test/otzyvy/page/2/#review-17,1
18,"Демо-отзыв для проверки пагинации — 08 (Павел Р., МО)",2,http://shpigovsky.test/otzyvy/page/2/#review-18,1
19,"Демо-отзыв для проверки пагинации — 09 (Наталья Т., Москва)",2,http://shpigovsky.test/otzyvy/page/2/#review-19,1
20,"Демо-отзыв для проверки пагинации — 10 (Алексей Ф., МО)",2,http://shpigovsky.test/otzyvy/page/2/#review-20,1
21,"Демо-отзыв для проверки пагинации — 11 (Виктория Г., Москва)",3,http://shpigovsky.test/otzyvy/page/3/#review-21,1
22,"Демо-отзыв для проверки пагинации — 12 (Роман Д., МО)",3,http://shpigovsky.test/otzyvy/page/3/#review-22,1
23,"Демо-отзыв для проверки пагинации — 13 (Ирина Е., Москва)",3,http://shpigovsky.test/otzyvy/page/3/#review-23,1
24,"Демо-отзыв для проверки пагинации — 14 (Кирилл Ж., МО)",3,http://shpigovsky.test/otzyvy/page/3/#review-24,1
25,"Демо-отзыв для проверки пагинации — 15 (Светлана З., Москва)",3,http://shpigovsky.test/otzyvy/page/3/#review-25,1
26,"Демо-отзыв для проверки пагинации — 16 (Андрей И., МО)",3,http://shpigovsky.test/otzyvy/page/3/#review-26,1
27,"Демо-отзыв для проверки пагинации — 17 (Юлия К., Москва)",3,http://shpigovsky.test/otzyvy/page/3/#review-27,1
28,"Демо-отзыв для проверки пагинации — 18 (Максим Л., МО)",3,http://shpigovsky.test/otzyvy/page/3/#review-28,1
29,"Демо-отзыв для проверки пагинации — 19 (Татьяна М., Москва)",3,http://shpigovsky.test/otzyvy/page/3/#review-29,1
30,"Демо-отзыв для проверки пагинации — 20 (Никита О., МО)",3,http://shpigovsky.test/otzyvy/page/3/#review-30,1
