index,review_id,review_uid,page,author,featured,is_demo,archive_url
0,1,review-c3a450d7,1,"Андрей, Москва",1,0,http://shpigovsky.test/otzyvy/#review-c3a450d7
1,2,review-0bea8c59,1,"Мария, Московская область",1,0,http://shpigovsky.test/otzyvy/#review-0bea8c59
2,3,review-aca4590f,1,"Елена, Москва",1,0,http://shpigovsky.test/otzyvy/#review-aca4590f
3,4,review-67d83ec2,1,"Игорь, Московская область",1,0,http://shpigovsky.test/otzyvy/#review-67d83ec2
4,5,review-275de8b6,1,"Наталья, Москва",1,0,http://shpigovsky.test/otzyvy/#review-275de8b6
5,6,review-7c5c771f,1,"Сергей, Московская область",0,0,http://shpigovsky.test/otzyvy/#review-7c5c771f
6,7,review-60b812d0,1,"Анна, Москва",0,0,http://shpigovsky.test/otzyvy/#review-60b812d0
7,8,review-8becfc9e,1,"Дмитрий, Московская область",0,0,http://shpigovsky.test/otzyvy/#review-8becfc9e
8,9,review-d5a8f84f,1,"Ольга, Москва",0,0,http://shpigovsky.test/otzyvy/#review-d5a8f84f
9,10,review-2114e391,1,"Михаил, Московская область",0,0,http://shpigovsky.test/otzyvy/#review-2114e391
10,11,review-ecb2dd45,2,"Демо-отзыв для проверки пагинации — 01 (Анна К., Москва)",1,0,http://shpigovsky.test/otzyvy/page/2/#review-ecb2dd45
11,12,review-4d48d519,2,"Демо-отзыв для проверки пагинации — 02 (Игорь П., МО)",1,0,http://shpigovsky.test/otzyvy/page/2/#review-4d48d519
12,13,review-689f43cd,2,"Демо-отзыв для проверки пагинации — 03 (Елена С., Москва)",1,0,http://shpigovsky.test/otzyvy/page/2/#review-689f43cd
13,14,review-853281f5,2,"Демо-отзыв для проверки пагинации — 04 (Дмитрий В., МО)",1,0,http://shpigovsky.test/otzyvy/page/2/#review-853281f5
14,15,review-d5bc5f00,2,"Демо-отзыв для проверки пагинации — 05 (Ольга М., Москва)",1,0,http://shpigovsky.test/otzyvy/page/2/#review-d5bc5f00
15,16,review-903b01ae,2,"Демо-отзыв для проверки пагинации — 06 (Сергей Н., МО)",1,0,http://shpigovsky.test/otzyvy/page/2/#review-903b01ae
16,17,review-ff9e4f06,2,"Демо-отзыв для проверки пагинации — 07 (Мария Л., Москва)",1,0,http://shpigovsky.test/otzyvy/page/2/#review-ff9e4f06
17,18,review-d0732029,2,"Демо-отзыв для проверки пагинации — 08 (Павел Р., МО)",1,0,http://shpigovsky.test/otzyvy/page/2/#review-d0732029
18,19,review-db738f09,2,"Демо-отзыв для проверки пагинации — 09 (Наталья Т., Москва)",1,0,http://shpigovsky.test/otzyvy/page/2/#review-db738f09
19,20,review-770fbc00,2,"Демо-отзыв для проверки пагинации — 10 (Алексей Ф., МО)",1,0,http://shpigovsky.test/otzyvy/page/2/#review-770fbc00
20,21,review-1cd93d2d,3,"Демо-отзыв для проверки пагинации — 11 (Виктория Г., Москва)",1,0,http://shpigovsky.test/otzyvy/page/3/#review-1cd93d2d
21,22,review-14875021,3,"Демо-отзыв для проверки пагинации — 12 (Роман Д., МО)",1,0,http://shpigovsky.test/otzyvy/page/3/#review-14875021
22,23,review-03d96b8e,3,"Демо-отзыв для проверки пагинации — 13 (Ирина Е., Москва)",1,0,http://shpigovsky.test/otzyvy/page/3/#review-03d96b8e
23,24,review-6c618f13,3,"Демо-отзыв для проверки пагинации — 14 (Кирилл Ж., МО)",1,0,http://shpigovsky.test/otzyvy/page/3/#review-6c618f13
24,25,review-689cd36f,3,"Демо-отзыв для проверки пагинации — 15 (Светлана З., Москва)",1,0,http://shpigovsky.test/otzyvy/page/3/#review-689cd36f
25,26,review-121c2093,3,"Демо-отзыв для проверки пагинации — 16 (Андрей И., МО)",1,0,http://shpigovsky.test/otzyvy/page/3/#review-121c2093
26,27,review-e20f4bda,3,"Демо-отзыв для проверки пагинации — 17 (Юлия К., Москва)",1,0,http://shpigovsky.test/otzyvy/page/3/#review-e20f4bda
27,28,review-a41b8c63,3,"Демо-отзыв для проверки пагинации — 18 (Максим Л., МО)",1,0,http://shpigovsky.test/otzyvy/page/3/#review-a41b8c63
28,29,review-e6dd7ba1,3,"Демо-отзыв для проверки пагинации — 19 (Татьяна М., Москва)",1,0,http://shpigovsky.test/otzyvy/page/3/#review-e6dd7ba1
29,30,review-8dbc9ea4,3,"Демо-отзыв для проверки пагинации — 20 (Никита О., МО)",1,0,http://shpigovsky.test/otzyvy/page/3/#review-8dbc9ea4
