path,src,rt,match
template-parts\institutional\infrastructure-narrative.php,4E29E4989ACD,4E29E4989ACD,True
template-parts\institutional\who-we-treat.php,83C890E2C211,83C890E2C211,True
inc\institutional-helpers.php,EEAF99922678,EEAF99922678,True
inc\reviews-helpers.php,27D0FC6C1940,27D0FC6C1940,True
template-parts\components\review-archive-card.php,147D12B2744A,147D12B2744A,True
template-parts\reviews\archive-list.php,99851AC04487,99851AC04487,True
template-parts\shared\reviews-slider.php,93FC7811243F,93FC7811243F,True
assets\css\v9-style.css,18114D3CBC98,18114D3CBC98,True
plugins/.../FieldGroups.php,152F2CF378AF,152F2CF378AF,True

