viewport,route,file,bytes,status
1440x900,home,home__1440x900.png,1088292,PASS
1440x900,uslugi,uslugi__1440x900.png,258481,PASS
1440x900,section-zavisimosti,section-zavisimosti__1440x900.png,197995,PASS
1440x900,service-alcohol,service-alcohol__1440x900.png,298916,PASS
1440x900,o-centre,o-centre__1440x900.png,194262,PASS
1440x900,o-centre-gallery,o-centre-gallery__1440x900.png,199165,PASS
1440x900,specyalisty,specyalisty__1440x900.png,197541,PASS
1440x900,specialist-kostyuk,specialist-kostyuk__1440x900.png,311294,PASS
1440x900,kontakty,kontakty__1440x900.png,217378,PASS
1440x900,blog,blog__1440x900.png,273102,PASS
1440x900,blog-page-2,blog-page-2__1440x900.png,195537,PASS
1440x900,blog-single,blog-single__1440x900.png,407985,PASS
1440x900,otzyvy,otzyvy__1440x900.png,228192,PASS
1440x900,otzyvy-page-2,otzyvy-page-2__1440x900.png,218698,PASS
1440x900,otzyvy-page-3,otzyvy-page-3__1440x900.png,226102,PASS
1440x900,404,404__1440x900.png,291995,PASS
1024x768,home,home__1024x768.png,701474,PASS
1024x768,uslugi,uslugi__1024x768.png,216623,PASS
1024x768,section-zavisimosti,section-zavisimosti__1024x768.png,256745,PASS
1024x768,service-alcohol,service-alcohol__1024x768.png,142713,PASS
1024x768,o-centre,o-centre__1024x768.png,166688,PASS
1024x768,o-centre-gallery,o-centre-gallery__1024x768.png,135107,PASS
1024x768,specyalisty,specyalisty__1024x768.png,127024,PASS
1024x768,specialist-kostyuk,specialist-kostyuk__1024x768.png,259038,PASS
1024x768,kontakty,kontakty__1024x768.png,171399,PASS
1024x768,blog,blog__1024x768.png,195064,PASS
1024x768,blog-page-2,blog-page-2__1024x768.png,139181,PASS
1024x768,blog-single,blog-single__1024x768.png,348214,PASS
1024x768,otzyvy,otzyvy__1024x768.png,154463,PASS
1024x768,otzyvy-page-2,otzyvy-page-2__1024x768.png,160762,PASS
1024x768,otzyvy-page-3,otzyvy-page-3__1024x768.png,171608,PASS
1024x768,404,404__1024x768.png,214843,PASS
480x900,home,home__480x900.png,290926,PASS
480x900,uslugi,uslugi__480x900.png,111107,PASS
480x900,section-zavisimosti,section-zavisimosti__480x900.png,166199,PASS
480x900,service-alcohol,service-alcohol__480x900.png,117142,PASS
480x900,o-centre,o-centre__480x900.png,80700,PASS
480x900,o-centre-gallery,o-centre-gallery__480x900.png,92701,PASS
480x900,specyalisty,specyalisty__480x900.png,91237,PASS
480x900,specialist-kostyuk,specialist-kostyuk__480x900.png,237761,PASS
480x900,kontakty,kontakty__480x900.png,132295,PASS
480x900,blog,blog__480x900.png,163645,PASS
480x900,blog-page-2,blog-page-2__480x900.png,88562,PASS
480x900,blog-single,blog-single__480x900.png,238905,PASS
480x900,otzyvy,otzyvy__480x900.png,94972,PASS
480x900,otzyvy-page-2,otzyvy-page-2__480x900.png,104983,PASS
480x900,otzyvy-page-3,otzyvy-page-3__480x900.png,105232,PASS
480x900,404,404__480x900.png,125427,PASS
370x812,home,home__370x812.png,205579,PASS
370x812,uslugi,uslugi__370x812.png,100932,PASS
370x812,section-zavisimosti,section-zavisimosti__370x812.png,88244,PASS
370x812,service-alcohol,service-alcohol__370x812.png,85507,PASS
370x812,o-centre,o-centre__370x812.png,76895,PASS
370x812,o-centre-gallery,o-centre-gallery__370x812.png,81834,PASS
370x812,specyalisty,specyalisty__370x812.png,87021,PASS
370x812,specialist-kostyuk,specialist-kostyuk__370x812.png,226037,PASS
370x812,kontakty,kontakty__370x812.png,111673,PASS
370x812,blog,blog__370x812.png,142662,PASS
370x812,blog-page-2,blog-page-2__370x812.png,88712,PASS
370x812,blog-single,blog-single__370x812.png,186399,PASS
370x812,otzyvy,otzyvy__370x812.png,93103,PASS
370x812,otzyvy-page-2,otzyvy-page-2__370x812.png,95187,PASS
370x812,otzyvy-page-3,otzyvy-page-3__370x812.png,97842,PASS
370x812,404,404__370x812.png,114469,PASS
