"filename","group_key","label","active","in_runtime","php_registration_ref"
"group_fp02_block_comfort_gallery.json","group_fp02_block_comfort_gallery","Reusable Block — Comfort Gallery","True","True","True"
"group_fp02_block_comfort_intro.json","group_fp02_block_comfort_intro","Reusable Block — Comfort Intro","True","True","True"
"group_fp02_block_comfort_requirements.json","group_fp02_block_comfort_requirements","Reusable Block — Comfort Requirements","True","True","True"
"group_fp02_block_cta_bands.json","group_fp02_block_cta_bands","Reusable Block — CTA Bands","True","True","True"
"group_fp02_block_final_form.json","group_fp02_block_final_form","Reusable Block — Final Form","True","False","True"
"group_fp02_block_footer.json","group_fp02_block_footer","Reusable Block — Footer","True","True","True"
"group_fp02_block_founder_quote.json","group_fp02_block_founder_quote","Reusable Block — Founder Quote","True","True","True"
"group_fp02_block_header.json","group_fp02_block_header","Reusable Block — Header","True","True","True"
"group_fp02_block_specialists.json","group_fp02_block_specialists","Reusable Block — Specialists","True","False","True"
"group_fp02_blog_archive_settings.json","group_fp02_blog_archive_settings","Blog — Archive Settings","True","True","True"
"group_fp02_blog_post_article_meta.json","group_fp02_blog_post_article_meta","Blog Post — Article Meta","True","True","True"
"group_fp02_page_contacts.json","group_fp02_page_contacts","Page — Contacts","True","True","True"
"group_fp02_page_generic_content.json","group_fp02_page_generic_content","Содержимое страницы","True","True","True"
"group_fp02_page_home.json","group_fp02_page_home","Страница — Главная","True","True","True"
"group_fp02_page_institutional_child.json","group_fp02_page_institutional_child","Page — Institutional Child","True","False","True"
"group_fp02_page_layout_mode.json","group_fp02_page_layout_mode","Макет страницы","True","True","True"
"group_fp02_page_legal.json","group_fp02_page_legal","Page — Legal","True","False","True"
"group_fp02_page_ocentre_hub.json","group_fp02_page_ocentre_hub","Page — O-Centre Hub","True","False","True"
"group_fp02_page_reviews.json","group_fp02_page_reviews","Page — Reviews","True","True","True"
"group_fp02_page_services_hub.json","group_fp02_page_services_hub","Страница — Услуги (хаб)","True","True","True"
"group_fp02_service_faq.json","group_fp02_service_faq","Service — FAQ","True","False","True"
"group_fp02_service_general_parity.json","group_fp02_service_general_parity","Услуга — блоки страницы","True","True","True"
"group_fp02_service_hero.json","group_fp02_service_hero","Hero страницы услуги","True","True","True"
"group_fp02_service_layout_hero.json","group_fp02_service_layout_hero","Макет страницы услуги","True","True","True"
"group_fp02_service_relationships.json","group_fp02_service_relationships","Service — Relationships / Related Services","False","False","True"
"group_fp02_service_section_parity.json","group_fp02_service_section_parity","Service — Раздел (блоки по порядку сайта)","True","True","True"
"group_fp02_service_structured_sections.json","group_fp02_service_structured_sections","Service — Structured Sections","False","False","True"
"group_fp02_site_options_contacts.json","group_fp02_site_options_contacts","Site Options — Contacts and Organisation","True","True","True"
"group_fp02_site_options_modal_cta.json","group_fp02_site_options_modal_cta","Site Options — Modal and Global CTA","True","True","True"
"group_fp02_site_options_reviews.json","group_fp02_site_options_reviews","Site Options — Reviews","True","True","True"
"group_fp02_treatment_program_child.json","group_fp02_treatment_program_child","Программа лечения — карточка","True","True","True"
